"export-plot data (NetLogo 6.0.2)"
"UrbanVulnerability_WS.nlogo"
"01/06/2018 21:31:56:208 -0800"

"MODEL SETTINGS"
"tick-limit","motivation_to_protest","seed","budget-distribution","p_rain","fixed-seed?","initial-condition-infrastructure","tolerance_protest","neighbor-spillover-rate","t-coef","w7","infection-threshold","w8","w9","pop-density","w2","w3","use_fixed_landscape?","w4","new_infra_investment","radius_l","w5","w6","maintenance","dynamics?","landscape-type","policy_scenario","tau_ageinfra","visualization","w1","prob-outbreak"
"500","0.01","48569","""local""","0.5","true","""Old""","0.001","0.1","0.003","0.1","1500","0.7","0.1","3000","0.07500000000000001","0.07500000000000001","true","0.6749999999999999","0.07","0","0.1","0.1","0.07","true","""many-hills""","""Expand Access""","300","""Infrastructure_F""","0.07500000000000001","0.5"

"""Average infrastructure age"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","571","0","131","true","""Drain""","false","2"

"pen name","pen down?","mode","interval","color","x"
"""Drain""","true","0","1","95","500"
"""Supply""","true","0","1","34","500"

"""Drain""",,,,"""Supply"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","36.5640688653093","95","true","0","37.08136752284742","34","true"
"1","36.56406886530931","95","true","1","37.08136752284736","34","true"
"2","36.33769585164886","95","true","2","35.50103191159022","34","true"
"3","36.72450934481871","95","true","3","34.65026596405151","34","true"
"4","37.11132283798844","95","true","4","33.90989024382869","34","true"
"5","37.498136331158285","95","true","5","33.26886572819015","34","true"
"6","37.88494982432798","95","true","6","32.71725729667749","34","true"
"7","38.27176331749785","95","true","7","32.24612334087824","34","true"
"8","38.658576810667576","95","true","8","31.84741641322082","34","true"
"9","39.0453903038374","95","true","9","31.513893810891172","34","true"
"10","39.43220379700707","95","true","10","31.239037101356438","34","true"
"11","39.679079906873014","95","true","11","30.37651445218716","34","true"
"12","40.03875789294252","95","true","12","29.781683737346736","34","true"
"13","40.40087064522248","95","true","13","29.274730295272928","34","true"
"14","40.765174687091864","95","true","14","28.84686639868897","34","true"
"15","41.13145088959176","95","true","15","28.490183093045726","34","true"
"16","41.49950203665882","95","true","16","28.197562319249187","34","true"
"17","41.86915063383664","95","true","17","27.96259782411464","34","true"
"18","42.24023693611428","95","true","18","27.779523979776098","34","true"
"19","42.61261717298151","95","true","19","27.643151721153796","34","true"
"20","42.98616195097928","95","true","20","27.54881088967597","34","true"
"21","42.860783360764245","95","true","21","27.01775891926155","34","true"
"22","42.97364409698864","95","true","22","26.64814433196868","34","true"
"23","43.11129347383656","95","true","23","26.349015039480044","34","true"
"24","43.27125262724538","95","true","24","26.11332251231502","34","true"
"25","43.45129057955935","95","true","25","25.934723073941143","34","true"
"26","43.64939945088767","95","true","26","25.80750741547924","34","true"
"27","43.86377214932917","95","true","27","25.726537158938353","34","true"
"28","44.092782292172295","95","true","28","25.687187764126257","34","true"
"29","44.33496613497704","95","true","29","25.685297144870145","34","true"
"30","44.58900630774733","95","true","30","25.717119423614154","34","true"
"31","44.10733239176218","95","true","31","25.523365630781356","34","true"
"32","43.854032429761475","95","true","32","25.489186836533925","34","true"
"33","43.6590426702613","95","true","33","25.497846049952187","34","true"
"34","43.516532093011726","95","true","34","25.545059470269603","34","true"
"35","43.42125277978778","95","true","35","25.62697167679608","34","true"
"36","43.36848160418667","95","true","36","25.74011279091061","34","true"
"37","43.35396775244633","95","true","37","25.881359921854692","34","true"
"38","43.37388549218039","95","true","38","26.04790246794526","34","true"
"39","43.42479166424161","95","true","39","26.237210887667604","34","true"
"40","43.50358742539733","95","true","40","26.44700859365845","34","true"
"41","42.85115038885412","95","true","41","26.433860600442454","34","true"
"42","42.522550159452045","95","true","42","26.531594354072045","34","true"
"43","42.25952531401613","95","true","43","26.66204149007525","34","true"
"44","42.055518314149715","95","true","44","26.821930670214314","34","true"
"45","41.9046273752956","95","true","45","27.008317690075785","34","true"
"46","41.80154089135304","95","true","46","27.2185527656872","34","true"
"47","41.74147841683071","95","true","47","27.450251091473827","34","true"
"48","41.720137550786504","95","true","48","27.701266342418123","34","true"
"49","41.73364613237256","95","true","49","27.969666826004264","34","true"
"50","41.77851921682596","95","true","50","28.253714018967866","34","true"
"51","41.098978694381096","95","true","51","28.26905494324426","34","true"
"52","40.65646072445509","95","true","52","28.45219072338236","34","true"
"53","40.29031052587358","95","true","53","28.662900854137998","34","true"
"54","39.99289132150194","95","true","54","28.898427900449263","34","true"
"55","39.75733001191954","95","true","55","29.15629017076053","34","true"
"56","39.57744080764714","95","true","56","29.4342541426717","34","true"
"57","39.44765649815371","95","true","57","29.730309646022935","34","true"
"58","39.3629665939615","95","true","58","30.04264752767037","34","true"
"59","39.31886165454034","95","true","59","30.36963954978422","34","true"
"60","39.31128318341309","95","true","60","30.709820298317673","34","true"
"61","38.91362494057092","95","true","61","30.533383020237924","34","true"
"62","38.701236689011246","95","true","62","30.56345143519518","34","true"
"63","38.543987457756714","95","true","63","30.637418500711387","34","true"
"64","38.43636334477676","95","true","64","30.750894351730786","34","true"
"65","38.373401838243915","95","true","65","30.89992810970271","34","true"
"66","38.3506366775134","95","true","66","31.08096398393208","34","true"
"67","38.36404822800528","95","true","67","31.29080176279313","34","true"
"68","38.410018818597","95","true","68","31.526561255822724","34","true"
"69","38.48529254527877","95","true","69","31.785650291604163","34","true"
"70","38.58693909444143","95","true","70","32.06573591586184","34","true"
"71","38.273325442071695","95","true","71","31.92157817179079","34","true"
"72","38.10626812938389","95","true","72","31.970582226440186","34","true"
"73","37.98992825691378","95","true","73","32.064281638100425","34","true"
"74","37.919234080639676","95","true","74","32.1982068710703","34","true"
"75","37.88962103094199","95","true","75","32.36833534321873","34","true"
"76","37.89698099516302","95","true","76","32.571046730627664","34","true"
"77","37.937616671910845","95","true","77","32.80308274177152","34","true"
"78","38.008200489933024","95","true","78","33.06151091427659","34","true"
"79","38.10573763510195","95","true","79","33.343692032006906","34","true"
"80","38.2275327747029","95","true","80","33.64725080043944","34","true"
"81","38.035444243736606","95","true","81","33.5639799434762","34","true"
"82","37.94702747170681","95","true","82","33.65352641141351","34","true"
"83","37.901812566453465","95","true","83","33.7861672986292","34","true"
"84","37.895479341298866","95","true","84","33.957593163195284","34","true"
"85","37.92413962823323","95","true","85","34.16392550737657","34","true"
"86","37.9842940760476","95","true","86","34.40167368321161","34","true"
"87","38.07279326865398","95","true","87","34.66769610753513","34","true"
"88","38.18680273157315","95","true","88","34.95916535549816","34","true"
"89","38.323771437773935","95","true","89","35.27353674473702","34","true"
"90","38.48140346292807","95","true","90","35.608520061123656","34","true"
"91","38.28222654495005","95","true","91","35.4753985802427","34","true"
"92","38.174434696203676","95","true","92","35.52342116875459","34","true"
"93","38.11193555338018","95","true","93","35.6213390172334","34","true"
"94","38.090199845887355","95","true","94","35.76416259968253","34","true"
"95","38.1051512301919","95","true","95","35.947401342704445","34","true"
"96","38.15312099711422","95","true","96","36.16701373024203","34","true"
"97","38.2308073083926","95","true","97","36.4193623978439","34","true"
"98","38.33523850959132","95","true","98","36.701173717503515","34","true"
"99","38.463740111718444","95","true","99","37.0095014240153","34","true"
"100","38.61390507468113","95","true","100","37.341693878693604","34","true"
"101","38.36702405688727","95","true","101","37.18463484671786","34","true"
"102","38.236128109420136","95","true","102","37.20527446077281","34","true"
"103","38.15289103464801","95","true","103","37.28129365956119","34","true"
"104","38.11254694530122","95","true","104","37.407154484609634","34","true"
"105","38.11080654283723","95","true","105","37.577872773291986","34","true"
"106","38.14380945856783","95","true","106","37.788962779244955","34","true"
"107","38.20808136067346","95","true","107","38.03638733074135","34","true"
"108","38.30049535051673","95","true","108","38.31651297322706","34","true"
"109","38.41823721932374","95","true","109","38.626069597603106","34","true"
"110","38.558774179198174","95","true","110","38.96211410568019","34","true"
"111","38.235701866655816","95","true","111","38.87593555858615","34","true"
"112","38.03914618317714","95","true","112","38.961773073736346","34","true"
"113","37.89638323002022","95","true","113","39.09970428370557","34","true"
"114","37.80203373415282","95","true","114","39.28451981901182","34","true"
"115","37.751256349845946","95","true","115","39.511531247121155","34","true"
"116","37.7396938659434","95","true","116","39.77651897875383","34","true"
"117","37.76342479240509","95","true","117","40.075685383557165","34","true"
"118","37.81891978819427","95","true","118","40.40561259421418","34","true"
"119","37.90300244637848","95","true","119","40.763224530139446","34","true"
"120","38.01281400071797","95","true","120","41.145752718806186","34","true"
"121","37.68989211111452","95","true","121","41.093310509125814","34","true"
"122","37.5214273041327","95","true","122","41.212808440451184","34","true"
"123","37.404085532072685","95","true","123","41.383696416949135","34","true"
"124","37.33275449144232","95","true","124","41.60083543410221","34","true"
"125","37.30283310909859","95","true","125","41.85960038784477","34","true"
"126","37.31018041921277","95","true","126","42.15582868451834","34","true"
"127","37.35106955253913","95","true","127","42.48577398982936","34","true"
"128","37.422146326756454","95","true","128","42.84606460291443","34","true"
"129","37.52039197777558","95","true","129","43.2336659929959","34","true"
"130","37.64308961791648","95","true","130","43.64584708237405","34","true"
"131","37.38794479375559","95","true","131","43.553178332914534","34","true"
"132","37.29404251720301","95","true","132","43.636972485786266","34","true"
"133","37.24450398377824","95","true","133","43.77783188464749","34","true"
"134","37.23489281916847","95","true","134","43.97005000489943","34","true"
"135","37.26121628649236","95","true","135","44.208490974402764","34","true"
"136","37.31988092255621","95","true","136","44.48853250823301","34","true"
"137","37.407652610486195","95","true","137","44.80601454995671","34","true"
"138","37.52162064509589","95","true","138","45.15719304878506","34","true"
"139","37.65916539171697","95","true","139","45.53869835900739","34","true"
"140","37.817929179148635","95","true","140","45.94749779948412","34","true"
"141","37.59025407172075","95","true","141","45.88281273757233","34","true"
"142","37.521383025339006","95","true","142","46.00612109054675","34","true"
"143","37.49448411286777","95","true","143","46.18523353992125","34","true"
"144","37.50536012091605","95","true","144","46.41456967605634","34","true"
"145","37.5502335574319","95","true","145","46.689107130275175","34","true"
"146","37.6257046795685","95","true","146","47.00432577077035","34","true"
"147","37.7287137187637","95","true","147","47.356157478913694","34","true"
"148","37.856506883311944","95","true","148","47.740940947940615","34","true"
"149","38.00660576067761","95","true","149","48.1553810017626","34","true"
"150","38.17677977957914","95","true","150","48.596511981899965","34","true"
"151","37.9474200219229","95","true","151","48.56641888512385","34","true"
"152","37.87039063708385","95","true","152","48.719925062932475","34","true"
"153","37.836107402326164","95","true","153","48.92905915655374","34","true"
"154","37.8402957026416","95","true","154","49.18825837440636","34","true"
"155","37.87910838452304","95","true","155","49.49251620406695","34","true"
"156","37.949083009813755","95","true","156","49.837326784355476","34","true"
"157","38.04710338417279","95","true","157","50.21863484020832","34","true"
"158","38.17036493269341","95","true","158","50.63279062406982","34","true"
"159","38.316343537959284","95","true","159","51.076509363138314","34","true"
"160","38.48276749429612","95","true","160","51.54683476189353","34","true"
"161","38.47818108536715","95","true","161","51.37070704440029","34","true"
"162","38.56574197744307","95","true","162","51.42138928771267","34","true"
"163","38.68087240060694","95","true","163","51.53950121580992","34","true"
"164","38.82081540175004","95","true","164","51.718299860213776","34","true"
"165","38.983089723074286","95","true","165","51.95171654929318","34","true"
"166","39.165462232561424","95","true","166","52.234289478581225","34","true"
"167","39.365923111395674","95","true","167","52.561103024056514","34","true"
"168","39.58266352264182","95","true","168","52.927733124100975","34","true"
"169","39.814055513058996","95","true","169","53.33019812325684","34","true"
"170","40.058633924729826","95","true","170","53.764914531613215","34","true"
"171","40.03397861155536","95","true","171","53.56830116864367","34","true"
"172","40.06764143491251","95","true","172","53.527505872004","34","true"
"173","40.13384541948025","95","true","173","53.56650797511468","34","true"
"174","40.22933644913726","95","true","174","53.67732773800037","34","true"
"175","40.35118581937481","95","true","175","53.85278339468369","34","true"
"176","40.49675769613456","95","true","176","54.08641135578567","34","true"
"177","40.663679828764586","95","true","177","54.37239439086356","34","true"
"178","40.849817191677644","95","true","178","54.70549699252039","34","true"
"179","41.05324826184574","95","true","179","55.08100720409763","34","true"
"180","41.27224366854291","95","true","180","55.49468426460353","34","true"
"181","41.24371580257566","95","true","181","55.307108469686696","34","true"
"182","41.2538087745014","95","true","182","55.21784846223901","34","true"
"183","41.29866050053101","95","true","183","55.21617350209321","34","true"
"184","41.374795105253966","95","true","184","55.29332508451903","34","true"
"185","41.479084300801084","95","true","185","55.441420555258986","34","true"
"186","41.60871262808962","95","true","186","55.653365525482215","34","true"
"187","41.76114617394574","95","true","187","55.922775045240215","34","true"
"188","41.93410441651261","95","true","188","56.24390265957923","34","true"
"189","42.12553488611918","95","true","189","56.611576559041396","34","true"
"190","42.33359036006135","95","true","190","57.021142115114145","34","true"
"191","42.09401764428815","95","true","191","57.003261527537774","34","true"
"192","41.9127623896655","95","true","192","57.070872065876344","34","true"
"193","41.7839928500788","95","true","193","57.21459024288149","34","true"
"194","41.702460454024276","95","true","194","57.42680529468691","34","true"
"195","41.66344148714847","95","true","195","57.70066753381266","34","true"
"196","41.66268460653382","95","true","196","58.03001224152634","34","true"
"197","41.69636360355405","95","true","197","58.4092911709694","34","true"
"198","41.76103489044581","95","true","198","58.8335108999688","34","true"
"199","41.8535992382217","95","true","199","59.29817734856899","34","true"
"200","41.97126734079356","95","true","200","59.799245844809704","34","true"
"201","41.78305267804465","95","true","201","59.77724114088026","34","true"
"202","41.64990355783245","95","true","202","59.849397792660014","34","true"
"203","41.56476408061444","95","true","203","59.999674714583705","34","true"
"204","41.52283328209117","95","true","204","60.220259879636714","34","true"
"205","41.519790294393204","95","true","205","60.504122463506825","34","true"
"206","41.55174633643796","95","true","206","60.84493472431163","34","true"
"207","41.615201505251164","95","true","207","61.23700169435813","34","true"
"208","41.70700588815612","95","true","208","61.675197902722","34","true"
"209","41.824324563743374","95","true","209","62.15491042557155","34","true"
"210","41.96460610274502","95","true","210","62.67198763145787","34","true"
"211","41.69580735225634","95","true","211","62.69128873936736","34","true"
"212","41.589302145117735","95","true","212","62.86853811751293","34","true"
"213","41.52850460951529","95","true","213","63.11582391831224","34","true"
"214","41.50884397829576","95","true","214","63.42614249949991","34","true"
"215","41.526206561020466","95","true","215","63.7931905830369","34","true"
"216","41.57689003629499","95","true","216","64.21129521868899","34","true"
"217","41.65756231486461","95","true","217","64.67535075124408","34","true"
"218","41.765224516399655","95","true","218","65.18076209101214","34","true"
"219","41.8971776486036","95","true","219","65.72339365727157","34","true"
"220","42.05099261840948","95","true","220","66.2995234273732","34","true"
"221","41.7328879658419","95","true","221","66.33710498020977","34","true"
"222","41.611823037514256","95","true","222","66.59129026356625","34","true"
"223","41.53831205114109","95","true","223","66.91021592575186","34","true"
"224","41.50759961252716","95","true","224","67.28740792888358","34","true"
"225","41.51540586689633","95","true","225","67.71703963886672","34","true"
"226","41.557878944950566","95","true","226","68.19386708501666","34","true"
"227","41.63155216432117","95","true","227","68.71317069371612","34","true"
"228","41.73330551087642","95","true","228","69.27070284871053","34","true"
"229","41.86033097189792","95","true","229","69.86264069537025","34","true"
"230","42.010101335939225","95","true","230","70.48554366452856","34","true"
"231","41.87734653050492","95","true","231","70.38411190223073","34","true"
"232","41.93923965059798","95","true","232","70.51658756071849","34","true"
"233","42.03359692954893","95","true","233","70.72554244454798","34","true"
"234","42.15717195147171","95","true","234","71.00332863118504","34","true"
"235","42.30704294206907","95","true","235","71.34306299034864","34","true"
"236","42.480580304473925","95","true","236","71.73855070478643","34","true"
"237","42.67541740150533","95","true","237","72.18421643897065","34","true"
"238","42.889424259700476","95","true","238","72.67504239092702","34","true"
"239","43.12068390294326","95","true","239","73.2065125388779","34","true"
"240","43.367471052728604","95","true","240","73.77456246322427","34","true"
"241","43.23068611689922","95","true","241","73.70719249254061","34","true"
"242","43.201977754428306","95","true","242","73.87742524894922","34","true"
"243","43.216480345294094","95","true","243","74.12147665890572","34","true"
"244","43.26987279416278","95","true","244","74.43196485705506","34","true"
"245","43.358266115233945","95","true","245","74.80224616457822","34","true"
"246","43.47816022128762","95","true","246","75.22634127053807","34","true"
"247","43.62640503382532","95","true","247","75.69886879509033","34","true"
"248","43.80016548219883","95","true","248","76.21498549637644","34","true"
"249","43.996890002824635","95","true","249","76.77033245672268","34","true"
"250","44.2142821884769","95","true","250","77.36098665022259","34","true"
"251","44.12170276904356","95","true","251","77.2180109959327","34","true"
"252","44.11549347669503","95","true","252","77.37733053941288","34","true"
"253","44.15274035194191","95","true","253","77.6118527814581","34","true"
"254","44.22909777802515","95","true","254","77.91405745221252","34","true"
"255","44.340654699860316","95","true","255","78.27717630880426","34","true"
"256","44.483891167873246","95","true","256","78.69511793265059","34","true"
"257","44.65563922744531","95","true","257","79.16240004702512","34","true"
"258","44.853047719420886","95","true","258","79.67408860287576","34","true"
"259","45.07355060055999","95","true","259","80.22574295605477","34","true"
"260","45.314838431945425","95","true","260","80.81336652682899","34","true"
"261","45.35080440994703","95","true","261","80.61623809748335","34","true"
"262","45.458452076916544","95","true","262","80.64740236549093","34","true"
"263","45.60197562396937","95","true","263","80.76558123541254","34","true"
"264","45.77778746309704","95","true","264","80.96207324705665","34","true"
"265","45.982658765091706","95","true","265","81.22904708625101","34","true"
"266","46.21368358366721","95","true","266","81.55945457024099","34","true"
"267","46.4682465671653","95","true","267","81.94695233454694","34","true"
"268","46.74399389909322","95","true","268","82.38583135113662","34","true"
"269","47.03880714460864","95","true","269","82.87095349478233","34","true"
"270","47.35077971235241","95","true","270","83.39769445277861","34","true"
"271","47.21302168652184","95","true","271","83.26614074771352","34","true"
"272","47.16793734253359","95","true","272","83.42471885946159","34","true"
"273","47.17514509617228","95","true","273","83.65921501729707","34","true"
"274","47.229415737675794","95","true","274","83.9620374166111","34","true"
"275","47.3260429782569","95","true","275","84.32635343325678","34","true"
"276","47.460791158008576","95","true","276","84.74601370549955","34","true"
"277","47.62984818301321","95","true","277","85.21548380778043","34","true"
