"export-plot data (NetLogo 6.0.2)"
"UrbanVulnerability_WS.nlogo"
"01/06/2018 21:38:53:185 -0800"

"MODEL SETTINGS"
"tick-limit","motivation_to_protest","seed","budget-distribution","p_rain","fixed-seed?","initial-condition-infrastructure","tolerance_protest","neighbor-spillover-rate","t-coef","w7","infection-threshold","w8","w9","pop-density","w2","w3","use_fixed_landscape?","w4","new_infra_investment","radius_l","w5","w6","maintenance","dynamics?","landscape-type","policy_scenario","tau_ageinfra","visualization","w1","prob-outbreak"
"500","0.01","48569","""local""","0.5","true","""Old""","0.001","0.1","0.003","0.25","1500","0.25","0.7","3000","0.07500000000000001","0.07500000000000001","true","0.07500000000000001","0.07","0","0.25","0.25","0.07","true","""many-hills""","""Balanced""","300","""Infrastructure_F""","0.07500000000000001","0.5"

"""Average infrastructure age"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","571","0","72.5","true","""Drain""","false","2"

"pen name","pen down?","mode","interval","color","x"
"""Drain""","true","0","1","95","500"
"""Supply""","true","0","1","34","500"

"""Drain""",,,,"""Supply"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","36.56406886530931","95","true","0","37.08136752284747","34","true"
"1","36.56406886530936","95","true","1","37.08136752284735","34","true"
"2","36.3376958516489","95","true","2","35.50099068568062","34","true"
"3","36.72450934481867","95","true","3","34.650187634823226","34","true"
"4","37.11132283798848","95","true","4","33.90977852161353","34","true"
"5","37.49813633115829","95","true","5","33.26872395228689","34","true"
"6","37.884949824328004","95","true","6","32.717088472454954","34","true"
"7","38.271763317497886","95","true","7","32.24593017316833","34","true"
"8","38.65857681066761","95","true","8","31.847201336372294","34","true"
"9","39.04539030383745","95","true","9","31.51365901581778","34","true"
"10","39.4322037970071","95","true","10","31.23878455988096","34","true"
"11","39.81901729017688","95","true","11","30.230845836191776","34","true"
"12","40.20583078334673","95","true","12","29.351816401654407","34","true"
"13","40.59264427651649","95","true","13","28.588805327353604","34","true"
"14","40.97945776968626","95","true","14","27.930210777265753","34","true"
"15","41.366271262855975","95","true","15","27.36559109896944","34","true"
"16","41.753084756025835","95","true","16","26.885548805285744","34","true"
"17","42.13989824919558","95","true","17","26.48162615775305","34","true"
"18","42.52671174236551","95","true","18","26.146211191756578","34","true"
"19","42.91352523553522","95","true","19","25.87245313914256","34","true"
"20","43.30033872870491","95","true","20","25.654186308572648","34","true"
"21","43.68715222187477","95","true","21","24.993233069649296","34","true"
"22","44.07396571504459","95","true","22","24.429292355621786","34","true"
"23","44.46077920821417","95","true","23","23.952662914000708","34","true"
"24","44.84759270138399","95","true","24","23.554613617545304","34","true"
"25","45.234406194553955","95","true","25","23.22728645173916","34","true"
"26","45.62121968772368","95","true","26","22.963609203517233","34","true"
"27","46.008033180893506","95","true","27","22.7572168811211","34","true"
"28","46.39484667406317","95","true","28","22.602380991968175","34","true"
"29","46.78166016723293","95","true","29","22.493945892734175","34","true"
"30","47.16847366040279","95","true","30","22.427271504427225","34","true"
"31","47.48407466327292","95","true","31","21.933650188003107","34","true"
"32","47.85468184752278","95","true","32","21.52324938069565","34","true"
"33","48.22672845273985","95","true","33","21.187747031593183","34","true"
"34","48.600070536827474","95","true","34","20.919653294875108","34","true"
"35","48.97457855189867","95","true","35","20.71222730930315","34","true"
"36","49.35013590485485","95","true","36","20.55940229976251","34","true"
"37","49.726637661907816","95","true","37","20.455718168650176","34","true"
"38","50.10398938264782","95","true","38","20.39626082812325","34","true"
"39","50.4821060707057","95","true","39","20.37660759912329","34","true"
"40","50.86091122935033","95","true","40","20.39277807049751","34","true"
"41","50.769739049629784","95","true","41","20.151937603097803","34","true"
"42","51.09586758687985","95","true","42","19.97891197812017","34","true"
"43","51.42727008389825","95","true","43","19.860155740284917","34","true"
"44","51.76341914470791","95","true","44","19.790241950877682","34","true"
"45","52.10384011292952","95","true","45","19.7642863650558","34","true"
"46","52.44810579782228","95","true","46","19.777893162460533","34","true"
