"export-plot data (NetLogo 6.0.2)"
"UrbanVulnerability_WS.nlogo"
"01/06/2018 21:38:53:185 -0800"

"MODEL SETTINGS"
"tick-limit","motivation_to_protest","seed","budget-distribution","p_rain","fixed-seed?","initial-condition-infrastructure","tolerance_protest","neighbor-spillover-rate","t-coef","w7","infection-threshold","w8","w9","pop-density","w2","w3","use_fixed_landscape?","w4","new_infra_investment","radius_l","w5","w6","maintenance","dynamics?","landscape-type","policy_scenario","tau_ageinfra","visualization","w1","prob-outbreak"
"500","0.01","48569","""local""","0.5","true","""Old""","0.001","0.1","0.003","0.25","1500","0.25","0.7","3000","0.07500000000000001","0.07500000000000001","true","0.07500000000000001","0.07","0","0.25","0.25","0.07","true","""many-hills""","""Balanced""","300","""Infrastructure_F""","0.07500000000000001","0.5"

"""Infrastructure coverage"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","571","0","6120","true","""default""","false","2"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","86","500"
"""pen-1""","true","0","1","35","500"

"""default""",,,,"""pen-1"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","2775","86","true","0","2820","35","true"
"1","2775","86","true","1","2820","35","true"
"2","2775","86","true","2","2820","35","true"
"3","2775","86","true","3","2820","35","true"
"4","2775","86","true","4","2820","35","true"
"5","2775","86","true","5","2820","35","true"
"6","2775","86","true","6","2820","35","true"
"7","2775","86","true","7","2820","35","true"
"8","2775","86","true","8","2820","35","true"
"9","2775","86","true","9","2820","35","true"
"10","2775","86","true","10","2820","35","true"
"11","2775","86","true","11","3021","35","true"
"12","2775","86","true","12","3021","35","true"
"13","2775","86","true","13","3021","35","true"
"14","2775","86","true","14","3021","35","true"
"15","2775","86","true","15","3021","35","true"
"16","2775","86","true","16","3021","35","true"
"17","2775","86","true","17","3021","35","true"
"18","2775","86","true","18","3021","35","true"
"19","2775","86","true","19","3021","35","true"
"20","2775","86","true","20","3021","35","true"
"21","2775","86","true","21","3222","35","true"
"22","2775","86","true","22","3222","35","true"
"23","2775","86","true","23","3222","35","true"
"24","2775","86","true","24","3222","35","true"
"25","2775","86","true","25","3222","35","true"
"26","2775","86","true","26","3222","35","true"
"27","2775","86","true","27","3222","35","true"
"28","2775","86","true","28","3222","35","true"
"29","2775","86","true","29","3222","35","true"
"30","2775","86","true","30","3222","35","true"
"31","2775","86","true","31","3420","35","true"
"32","2775","86","true","32","3420","35","true"
"33","2775","86","true","33","3420","35","true"
"34","2775","86","true","34","3420","35","true"
"35","2775","86","true","35","3420","35","true"
"36","2775","86","true","36","3420","35","true"
"37","2775","86","true","37","3420","35","true"
"38","2775","86","true","38","3420","35","true"
"39","2775","86","true","39","3420","35","true"
"40","2775","86","true","40","3420","35","true"
"41","2780","86","true","41","3594","35","true"
"42","2780","86","true","42","3594","35","true"
"43","2780","86","true","43","3594","35","true"
"44","2780","86","true","44","3594","35","true"
"45","2780","86","true","45","3594","35","true"
"46","2780","86","true","46","3594","35","true"
"47","2780","86","true","47","3594","35","true"
"48","2780","86","true","48","3594","35","true"
