"export-plot data (NetLogo 6.0.2)"
"UrbanVulnerability_WS.nlogo"
"01/06/2018 21:46:52:055 -0800"

"MODEL SETTINGS"
"tick-limit","motivation_to_protest","seed","budget-distribution","p_rain","fixed-seed?","initial-condition-infrastructure","tolerance_protest","neighbor-spillover-rate","t-coef","w7","infection-threshold","w8","w9","pop-density","w2","w3","use_fixed_landscape?","w4","new_infra_investment","radius_l","w5","w6","maintenance","dynamics?","landscape-type","policy_scenario","tau_ageinfra","visualization","w1","prob-outbreak"
"500","0.01","48569","""local""","0.5","true","""Old""","0.001","0.1","0.003","0.7","1500","0.1","0.5","3000","-0.024999999999999994","0.575","true","-0.024999999999999994","0.07","0","0.1","0.1","0.07","true","""many-hills""","""Repair First""","300","""Infrastructure_F""","-0.024999999999999994","0.5"

"""Average infrastructure age"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","571","0","160","true","""Drain""","false","2"

"pen name","pen down?","mode","interval","color","x"
"""Drain""","true","0","1","95","500"
"""Supply""","true","0","1","34","500"

"""Drain""",,,,"""Supply"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","36.564068865309295","95","true","0","37.081367522847366","34","true"
"1","36.56406886530935","95","true","1","37.08136752284742","34","true"
"2","36.3376958516489","95","true","2","35.493910126791775","34","true"
"3","36.724509344818735","95","true","3","34.6367345729344","34","true"
"4","37.11132283798838","95","true","4","33.890590207024815","34","true"
"5","37.49813633115826","95","true","5","33.24437391026817","34","true"
"6","37.88494982432805","95","true","6","32.688092875749284","34","true"
"7","38.27176331749779","95","true","7","32.21275357724431","34","true"
"8","38.6585768106676","95","true","8","31.810261841151767","34","true"
"9","39.04539030383738","95","true","9","31.473332911230596","34","true"
"10","39.43220379700719","95","true","10","31.195410506863567","34","true"
"11","39.80847679674089","95","true","11","30.221674001920704","34","true"
"12","40.18570627124351","95","true","12","29.37352413882991","34","true"
"13","40.56379657303789","95","true","13","28.63840225340589","34","true"
"14","40.94266161939492","95","true","14","28.0050055478819","34","true"
"15","41.32222393585842","95","true","15","27.463161504268058","34","true"
"16","41.70241379541774","95","true","16","27.003714856373264","34","true"
"17","42.0831684437632","95","true","17","26.618425864625593","34","true"
"18","42.464431402016245","95","true","18","26.299878763410405","34","true"
"19","42.84615183918599","95","true","19","26.04139936367437","34","true"
"20","43.228284007381","95","true","20","25.83698089526968","34","true"
"21","41.975900828916636","95","true","21","26.286102724095937","34","true"
"22","40.873442335736655","95","true","22","26.735224552922276","34","true"
"23","39.905916059312794","95","true","23","27.18434638174859","34","true"
"24","39.059828777968995","95","true","24","27.633468210574897","34","true"
"25","38.323036592197745","95","true","25","28.08259003940122","34","true"
"26","37.684609992441445","95","true","26","28.53171186822751","34","true"
"27","37.13471242009883","95","true","27","28.98083369705389","34","true"
"28","36.664490972428474","95","true","28","29.429955525880207","34","true"
"29","36.26597803696307","95","true","29","29.879077354706506","34","true"
"30","35.93200276248227","95","true","30","30.32819918353276","34","true"
