"export-plot data (NetLogo 6.0.2)"
"UrbanVulnerability_WS.nlogo"
"01/06/2018 21:46:52:055 -0800"

"MODEL SETTINGS"
"tick-limit","motivation_to_protest","seed","budget-distribution","p_rain","fixed-seed?","initial-condition-infrastructure","tolerance_protest","neighbor-spillover-rate","t-coef","w7","infection-threshold","w8","w9","pop-density","w2","w3","use_fixed_landscape?","w4","new_infra_investment","radius_l","w5","w6","maintenance","dynamics?","landscape-type","policy_scenario","tau_ageinfra","visualization","w1","prob-outbreak"
"500","0.01","48569","""local""","0.5","true","""Old""","0.001","0.1","0.003","0.7","1500","0.1","0.5","3000","-0.024999999999999994","0.575","true","-0.024999999999999994","0.07","0","0.1","0.1","0.07","true","""many-hills""","""Repair First""","300","""Infrastructure_F""","-0.024999999999999994","0.5"

"""Infrastructure coverage"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","571","0","7890","true","""default""","false","2"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","86","500"
"""pen-1""","true","0","1","35","500"

"""default""",,,,"""pen-1"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","2775","86","true","0","2820","35","true"
"1","2775","86","true","1","2820","35","true"
"2","2775","86","true","2","2820","35","true"
"3","2775","86","true","3","2820","35","true"
"4","2775","86","true","4","2820","35","true"
"5","2775","86","true","5","2820","35","true"
"6","2775","86","true","6","2820","35","true"
"7","2775","86","true","7","2820","35","true"
"8","2775","86","true","8","2820","35","true"
"9","2775","86","true","9","2820","35","true"
"10","2775","86","true","10","2820","35","true"
"11","2775","86","true","11","3021","35","true"
"12","2775","86","true","12","3021","35","true"
"13","2775","86","true","13","3021","35","true"
"14","2775","86","true","14","3021","35","true"
"15","2775","86","true","15","3021","35","true"
"16","2775","86","true","16","3021","35","true"
"17","2775","86","true","17","3021","35","true"
"18","2775","86","true","18","3021","35","true"
"19","2775","86","true","19","3021","35","true"
"20","2775","86","true","20","3021","35","true"
"21","2775","86","true","21","3222","35","true"
