"export-plot data (NetLogo 6.0.2)"
"UrbanVulnerability_WS.nlogo"
"01/06/2018 21:51:02:674 -0800"

"MODEL SETTINGS"
"tick-limit","motivation_to_protest","seed","budget-distribution","p_rain","fixed-seed?","initial-condition-infrastructure","tolerance_protest","neighbor-spillover-rate","t-coef","w7","infection-threshold","w8","w9","pop-density","w2","w3","use_fixed_landscape?","w4","new_infra_investment","radius_l","w5","w6","maintenance","dynamics?","landscape-type","policy_scenario","tau_ageinfra","visualization","w1","prob-outbreak"
"500","0.01","48569","""local""","0.5","true","""Old""","0.001","0.1","0.003","0.1","1500","0.1","0.1","3000","0.6749999999999999","0.07500000000000001","true","0.07500000000000001","0.07","0","0.1","0.7","0.07","true","""many-hills""","""Squeaky Wheel""","300","""Infrastructure_F""","0.07500000000000001","0.5"

"""Infrastructure coverage"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","571","0","4660","true","""default""","false","2"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","86","500"
"""pen-1""","true","0","1","35","500"

"""default""",,,,"""pen-1"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","2775","86","true","0","2820","35","true"
"1","2775","86","true","1","2820","35","true"
"2","2775","86","true","2","2820","35","true"
"3","2775","86","true","3","2820","35","true"
"4","2775","86","true","4","2820","35","true"
"5","2775","86","true","5","2820","35","true"
"6","2775","86","true","6","2820","35","true"
"7","2775","86","true","7","2820","35","true"
"8","2775","86","true","8","2820","35","true"
"9","2775","86","true","9","2820","35","true"
"10","2775","86","true","10","2820","35","true"
"11","2809","86","true","11","2928","35","true"
"12","2809","86","true","12","2928","35","true"
"13","2809","86","true","13","2928","35","true"
"14","2809","86","true","14","2928","35","true"
"15","2809","86","true","15","2928","35","true"
"16","2809","86","true","16","2928","35","true"
"17","2809","86","true","17","2928","35","true"
"18","2809","86","true","18","2928","35","true"
"19","2809","86","true","19","2928","35","true"
"20","2809","86","true","20","2928","35","true"
"21","2826","86","true","21","2977","35","true"
"22","2826","86","true","22","2977","35","true"
"23","2826","86","true","23","2977","35","true"
"24","2826","86","true","24","2977","35","true"
"25","2826","86","true","25","2977","35","true"
"26","2826","86","true","26","2977","35","true"
"27","2826","86","true","27","2977","35","true"
"28","2826","86","true","28","2977","35","true"
"29","2826","86","true","29","2977","35","true"
"30","2826","86","true","30","2977","35","true"
"31","2840","86","true","31","3017","35","true"
"32","2840","86","true","32","3017","35","true"
"33","2840","86","true","33","3017","35","true"
"34","2840","86","true","34","3017","35","true"
"35","2840","86","true","35","3017","35","true"
"36","2840","86","true","36","3017","35","true"
"37","2840","86","true","37","3017","35","true"
"38","2840","86","true","38","3017","35","true"
"39","2840","86","true","39","3017","35","true"
"40","2840","86","true","40","3017","35","true"
"41","2860","86","true","41","3087","35","true"
"42","2860","86","true","42","3087","35","true"
"43","2860","86","true","43","3087","35","true"
"44","2860","86","true","44","3087","35","true"
"45","2860","86","true","45","3087","35","true"
"46","2860","86","true","46","3087","35","true"
"47","2860","86","true","47","3087","35","true"
"48","2860","86","true","48","3087","35","true"
"49","2860","86","true","49","3087","35","true"
"50","2860","86","true","50","3087","35","true"
"51","2881","86","true","51","3155","35","true"
"52","2881","86","true","52","3155","35","true"
"53","2881","86","true","53","3155","35","true"
"54","2881","86","true","54","3155","35","true"
"55","2881","86","true","55","3155","35","true"
"56","2881","86","true","56","3155","35","true"
"57","2881","86","true","57","3155","35","true"
"58","2881","86","true","58","3155","35","true"
"59","2881","86","true","59","3155","35","true"
"60","2881","86","true","60","3155","35","true"
"61","2907","86","true","61","3227","35","true"
"62","2907","86","true","62","3227","35","true"
"63","2907","86","true","63","3227","35","true"
"64","2907","86","true","64","3227","35","true"
"65","2907","86","true","65","3227","35","true"
"66","2907","86","true","66","3227","35","true"
"67","2907","86","true","67","3227","35","true"
"68","2907","86","true","68","3227","35","true"
"69","2907","86","true","69","3227","35","true"
"70","2907","86","true","70","3227","35","true"
"71","2927","86","true","71","3279","35","true"
"72","2927","86","true","72","3279","35","true"
"73","2927","86","true","73","3279","35","true"
"74","2927","86","true","74","3279","35","true"
"75","2927","86","true","75","3279","35","true"
"76","2927","86","true","76","3279","35","true"
"77","2927","86","true","77","3279","35","true"
"78","2927","86","true","78","3279","35","true"
"79","2927","86","true","79","3279","35","true"
"80","2927","86","true","80","3279","35","true"
"81","2939","86","true","81","3330","35","true"
"82","2939","86","true","82","3330","35","true"
"83","2939","86","true","83","3330","35","true"
"84","2939","86","true","84","3330","35","true"
"85","2939","86","true","85","3330","35","true"
"86","2939","86","true","86","3330","35","true"
"87","2939","86","true","87","3330","35","true"
"88","2939","86","true","88","3330","35","true"
"89","2939","86","true","89","3330","35","true"
"90","2939","86","true","90","3330","35","true"
"91","2959","86","true","91","3396","35","true"
"92","2959","86","true","92","3396","35","true"
"93","2959","86","true","93","3396","35","true"
"94","2959","86","true","94","3396","35","true"
