"export-plot data (NetLogo 6.0.2)"
"UrbanVulnerability_WS.nlogo"
"01/06/2018 21:53:17:586 -0800"

"MODEL SETTINGS"
"tick-limit","motivation_to_protest","seed","budget-distribution","p_rain","fixed-seed?","initial-condition-infrastructure","tolerance_protest","neighbor-spillover-rate","t-coef","w7","infection-threshold","w8","w9","pop-density","w2","w3","use_fixed_landscape?","w4","new_infra_investment","radius_l","w5","w6","maintenance","dynamics?","landscape-type","policy_scenario","tau_ageinfra","visualization","w1","prob-outbreak"
"500","0.01","48569","""local""","0.5","true","""Old""","0.001","0.1","0.003","0.1","1500","0.1","0.5","3000","0.575","-0.024999999999999994","true","-0.024999999999999994","0.07","0","0.1","0.7","0.07","true","""many-hills""","""Squeaky Wheel""","300","""Infrastructure_F""","-0.024999999999999994","0.5"

"""Average infrastructure age"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","571","0","49","true","""Drain""","false","2"

"pen name","pen down?","mode","interval","color","x"
"""Drain""","true","0","1","95","500"
"""Supply""","true","0","1","34","500"

"""Drain""",,,,"""Supply"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","36.56406886530941","95","true","0","37.08136752284739","34","true"
"1","36.564068865309345","95","true","1","37.081367522847444","34","true"
"2","36.33769585164893","95","true","2","35.53111771900015","34","true"
"3","36.724509344818706","95","true","3","34.70742899813028","34","true"
"4","37.11132283798844","95","true","4","33.991422781909456","34","true"
"5","37.49813633115822","95","true","5","33.372330819872715","34","true"
"6","37.88494982432808","95","true","6","32.840461686601714","34","true"
"7","38.27176331749781","95","true","7","32.38709309921987","34","true"
"8","38.658576810667576","95","true","8","32.00437500313808","34","true"
"9","39.045390303837344","95","true","9","31.68524234922665","34","true"
"10","39.43220379700714","95","true","10","31.42333659326832","34","true"
"11","39.409652049670655","95","true","11","30.480113775257724","34","true"
"12","39.75428881932828","95","true","12","29.866071470618472","34","true"
"13","40.102418421638404","95","true","13","29.34175790160068","34","true"
"14","40.453691573335384","95","true","14","28.89820019464222","34","true"
"15","40.80779391948072","95","true","15","28.527322763537075","34","true"
"16","41.16444254062972","95","true","16","28.22185758069992","34","true"
"17","41.52338280928169","95","true","17","27.97526342130401","34","true"
"18","41.88438556068672","95","true","18","27.78165318300518","34","true"
"19","42.24724454656927","95","true","19","27.635728473693895","34","true"
"20","42.6117741434815","95","true","20","27.532720740471035","34","true"
"21","42.09819780590893","95","true","21","26.766526767056263","34","true"
"22","42.37192770375682","95","true","22","26.378252317457118","34","true"
"23","42.65523749723968","95","true","23","26.059834027621417","34","true"
"24","42.94716919679354","95","true","24","25.804286281572764","34","true"
"25","43.24686061181162","95","true","25","25.60532202493231","34","true"
"26","43.55353577074759","95","true","26","25.45728290875937","34","true"
"27","43.866496299209544","95","true","27","25.355076419007286","34","true"
"28","44.18511366024473","95","true","28","25.29411929303379","34","true"
"29","44.50882217059605","95","true","29","25.270286594461083","34","true"
"30","44.837112715331834","95","true","30","25.279865880549195","34","true"
"31","43.9597745107525","95","true","31","24.526216858320343","34","true"
"32","44.221061219019425","95","true","32","24.24561873450574","34","true"
"33","44.49301881040448","95","true","33","24.025503060374046","34","true"
"34","44.774580196595565","95","true","34","23.859821590956848","34","true"
"35","45.0647849981125","95","true","35","23.74313090578271","34","true"
"36","45.36276887342271","95","true","36","23.670531926427287","34","true"
"37","45.667753915146356","95","true","37","23.63761548230887","34","true"
"38","45.97904000664258","95","true","38","23.640413319903626","34","true"
"39","46.29599704293416","95","true","39","23.675354011040287","34","true"
"40","46.61805792954122","95","true","40","23.739223270364555","34","true"
"41","44.785047687425056","95","true","41","23.35419598153216","34","true"
"42","45.01758980525442","95","true","42","23.165247813148365","34","true"
"43","45.26260394492237","95","true","43","23.029596468851295","34","true"
"44","45.51884290424488","95","true","44","22.941912266232386","34","true"
