"export-plot data (NetLogo 6.0.2)"
"UrbanVulnerability_WS.nlogo"
"01/06/2018 16:41:23:902 -0800"

"MODEL SETTINGS"
"tick-limit","motivation_to_protest","seed","budget-distribution","p_rain","fixed-seed?","initial-condition-infrastructure","tolerance_protest","neighbor-spillover-rate","t-coef","w7","infection-threshold","w8","w9","pop-density","w2","w3","use_fixed_landscape?","w4","new_infra_investment","radius_l","w5","w6","maintenance","dynamics?","landscape-type","policy_scenario","tau_ageinfra","visualization","w1","prob-outbreak"
"300","0.01","48569","""local""","0.5","true","""Old""","0.001","0.1","0.002","0.1","5000","0.7","0.1","3000","0.07500000000000001","0.07500000000000001","true","0.6749999999999999","0.07","0","0.1","0.1","0.07","true","""many-hills""","""Expand Access""","300","""Infrastructure_F""","0.07500000000000001","0.5"

"""Average infrastructure age"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","364","0","131","true","""Drain""","false","2"

"pen name","pen down?","mode","interval","color","x"
"""Drain""","true","0","1","95","300"
"""Supply""","true","0","1","34","300"

"""Drain""",,,,"""Supply"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","36.56406886530934","95","true","0","37.08136752284744","34","true"
"1","36.56406886530931","95","true","1","37.08136752284747","34","true"
"2","36.33769585164891","95","true","2","35.50080447217581","34","true"
"3","36.7245093448187","95","true","3","34.64983382916418","34","true"
"4","37.11132283798849","95","true","4","33.909273883015715","34","true"
"5","37.49813633115815","95","true","5","33.26808356404411","34","true"
"6","37.88494982432798","95","true","6","32.71632590953166","34","true"
"7","38.271763317497864","95","true","7","32.24505765303262","34","true"
"8","38.658576810667576","95","true","8","31.84622985474538","34","true"
"9","39.045390303837365","95","true","9","31.512598468848907","34","true"
"10","39.432203797007205","95","true","10","31.2376438541041","34","true"
"11","39.44346403258005","95","true","11","30.584609215241347","34","true"
"12","39.65432583431688","95","true","12","30.125183237666327","34","true"
"13","39.880970705949906","95","true","13","29.741627373878938","34","true"
"14","40.12182034048926","95","true","14","29.426354612500578","34","true"
"15","40.375454261644244","95","true","15","29.172536643290062","34","true"
"16","40.640594040753484","95","true","16","28.97402798703054","34","true"
"17","40.916089092021494","95","true","17","28.82529771242716","34","true"
"18","41.20090388823253","95","true","18","28.721367981314277","34","true"
"19","41.49410645489201","95","true","19","28.65775873934289","34","true"
"20","41.79485801495545","95","true","20","28.630437937598472","34","true"
"21","41.24684162170365","95","true","21","28.456090192279333","34","true"
"22","40.97304872624544","95","true","22","28.42464409434042","34","true"
"23","40.75897412228471","95","true","23","28.43360215456469","34","true"
"24","40.59864598067143","95","true","24","28.47892395713583","34","true"
"25","40.486689655171","95","true","25","28.556973127818882","34","true"
"26","40.41826796417219","95","true","26","28.664476929802586","34","true"
"27","40.389027444224546","95","true","27","28.798489899957016","34","true"
"28","40.39504997822334","95","true","28","28.95636112146522","34","true"
"29","40.432809260773645","95","true","29","29.135704769191765","34","true"
"30","40.49913161702052","95","true","30","29.334373600514564","34","true"
"31","39.98535145635555","95","true","31","29.103215320967198","34","true"
"32","39.77839472978019","95","true","32","28.99262761408928","34","true"
"33","39.625281152862684","95","true","33","28.93235153544042","34","true"
"34","39.52062641063718","95","true","34","28.917355922197657","34","true"
"35","39.45958461963451","95","true","35","28.943112727820214","34","true"
"36","39.43779448473244","95","true","36","29.005546710421534","34","true"
"37","39.451330840320864","95","true","37","29.10099015230387","34","true"
"38","39.496661037350606","95","true","38","29.226142107539058","34","true"
"39","39.570605691677706","95","true","39","29.37803172479205","34","true"
"40","39.67030335757245","95","true","40","29.553985237860605","34","true"
"41","38.944979931095766","95","true","41","29.593304884528727","34","true"
"42","38.54229451575504","95","true","42","29.73048724399339","34","true"
"43","38.210711207602145","95","true","43","29.898319920620356","34","true"
"44","37.94311979591816","95","true","44","30.093737882692984","34","true"
