"export-plot data (NetLogo 6.0.2)"
"UrbanVulnerability_WS.nlogo"
"01/06/2018 16:41:23:886 -0800"

"MODEL SETTINGS"
"tick-limit","motivation_to_protest","seed","budget-distribution","p_rain","fixed-seed?","initial-condition-infrastructure","tolerance_protest","neighbor-spillover-rate","t-coef","w7","infection-threshold","w8","w9","pop-density","w2","w3","use_fixed_landscape?","w4","new_infra_investment","radius_l","w5","w6","maintenance","dynamics?","landscape-type","policy_scenario","tau_ageinfra","visualization","w1","prob-outbreak"
"300","0.01","48569","""local""","0.5","true","""Old""","0.001","0.1","0.002","0.1","5000","0.7","0.1","3000","0.07500000000000001","0.07500000000000001","true","0.6749999999999999","0.07","0","0.1","0.1","0.07","true","""many-hills""","""Expand Access""","300","""Infrastructure_F""","0.07500000000000001","0.5"

"""Infrastructure coverage"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","364","0","7540","true","""default""","false","2"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","86","300"
"""pen-1""","true","0","1","35","300"

"""default""",,,,"""pen-1"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","2775","86","true","0","2820","35","true"
"1","2775","86","true","1","2820","35","true"
"2","2775","86","true","2","2820","35","true"
"3","2775","86","true","3","2820","35","true"
"4","2775","86","true","4","2820","35","true"
"5","2775","86","true","5","2820","35","true"
"6","2775","86","true","6","2820","35","true"
"7","2775","86","true","7","2820","35","true"
"8","2775","86","true","8","2820","35","true"
"9","2775","86","true","9","2820","35","true"
"10","2775","86","true","10","2820","35","true"
"11","2776","86","true","11","3020","35","true"
"12","2776","86","true","12","3020","35","true"
"13","2776","86","true","13","3020","35","true"
"14","2776","86","true","14","3020","35","true"
"15","2776","86","true","15","3020","35","true"
"16","2776","86","true","16","3020","35","true"
"17","2776","86","true","17","3020","35","true"
"18","2776","86","true","18","3020","35","true"
"19","2776","86","true","19","3020","35","true"
"20","2776","86","true","20","3020","35","true"
"21","2776","86","true","21","3221","35","true"
"22","2776","86","true","22","3221","35","true"
"23","2776","86","true","23","3221","35","true"
"24","2776","86","true","24","3221","35","true"
"25","2776","86","true","25","3221","35","true"
"26","2776","86","true","26","3221","35","true"
"27","2776","86","true","27","3221","35","true"
"28","2776","86","true","28","3221","35","true"
"29","2776","86","true","29","3221","35","true"
"30","2776","86","true","30","3221","35","true"
"31","2776","86","true","31","3422","35","true"
"32","2776","86","true","32","3422","35","true"
"33","2776","86","true","33","3422","35","true"
"34","2776","86","true","34","3422","35","true"
"35","2776","86","true","35","3422","35","true"
"36","2776","86","true","36","3422","35","true"
"37","2776","86","true","37","3422","35","true"
"38","2776","86","true","38","3422","35","true"
"39","2776","86","true","39","3422","35","true"
"40","2776","86","true","40","3422","35","true"
"41","2781","86","true","41","3618","35","true"
"42","2781","86","true","42","3618","35","true"
"43","2781","86","true","43","3618","35","true"
"44","2781","86","true","44","3618","35","true"
"45","2781","86","true","45","3618","35","true"
"46","2781","86","true","46","3618","35","true"
"47","2781","86","true","47","3618","35","true"
"48","2781","86","true","48","3618","35","true"
"49","2781","86","true","49","3618","35","true"
"50","2781","86","true","50","3618","35","true"
"51","2781","86","true","51","3819","35","true"
"52","2781","86","true","52","3819","35","true"
"53","2781","86","true","53","3819","35","true"
"54","2781","86","true","54","3819","35","true"
"55","2781","86","true","55","3819","35","true"
"56","2781","86","true","56","3819","35","true"
"57","2781","86","true","57","3819","35","true"
"58","2781","86","true","58","3819","35","true"
"59","2781","86","true","59","3819","35","true"
"60","2781","86","true","60","3819","35","true"
"61","2782","86","true","61","4019","35","true"
"62","2782","86","true","62","4019","35","true"
"63","2782","86","true","63","4019","35","true"
"64","2782","86","true","64","4019","35","true"
"65","2782","86","true","65","4019","35","true"
"66","2782","86","true","66","4019","35","true"
"67","2782","86","true","67","4019","35","true"
"68","2782","86","true","68","4019","35","true"
"69","2782","86","true","69","4019","35","true"
"70","2782","86","true","70","4019","35","true"
"71","2782","86","true","71","4220","35","true"
"72","2782","86","true","72","4220","35","true"
"73","2782","86","true","73","4220","35","true"
"74","2782","86","true","74","4220","35","true"
"75","2782","86","true","75","4220","35","true"
"76","2782","86","true","76","4220","35","true"
"77","2782","86","true","77","4220","35","true"
"78","2782","86","true","78","4220","35","true"
"79","2782","86","true","79","4220","35","true"
"80","2782","86","true","80","4220","35","true"
"81","2782","86","true","81","4421","35","true"
"82","2782","86","true","82","4421","35","true"
"83","2782","86","true","83","4421","35","true"
"84","2782","86","true","84","4421","35","true"
"85","2782","86","true","85","4421","35","true"
"86","2782","86","true","86","4421","35","true"
"87","2782","86","true","87","4421","35","true"
"88","2782","86","true","88","4421","35","true"
"89","2782","86","true","89","4421","35","true"
"90","2782","86","true","90","4421","35","true"
"91","2782","86","true","91","4622","35","true"
"92","2782","86","true","92","4622","35","true"
"93","2782","86","true","93","4622","35","true"
"94","2782","86","true","94","4622","35","true"
"95","2782","86","true","95","4622","35","true"
"96","2782","86","true","96","4622","35","true"
"97","2782","86","true","97","4622","35","true"
