"export-plot data (NetLogo 6.0.2)"
"UrbanVulnerability_WS.nlogo"
"01/06/2018 21:36:13:110 -0800"

"MODEL SETTINGS"
"tick-limit","motivation_to_protest","seed","budget-distribution","p_rain","fixed-seed?","initial-condition-infrastructure","tolerance_protest","neighbor-spillover-rate","t-coef","w7","infection-threshold","w8","w9","pop-density","w2","w3","use_fixed_landscape?","w4","new_infra_investment","radius_l","w5","w6","maintenance","dynamics?","landscape-type","policy_scenario","tau_ageinfra","visualization","w1","prob-outbreak"
"500","0.01","48569","""local""","0.5","true","""Old""","0.001","0.1","0.003","0.1","1500","0.7","0.5","3000","-0.024999999999999994","-0.024999999999999994","true","0.575","0.07","0","0.1","0.1","0.07","true","""many-hills""","""Expand Access""","300","""Infrastructure_F""","-0.024999999999999994","0.5"

"""Average infrastructure age"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","571","0","72.7","true","""Drain""","false","2"

"pen name","pen down?","mode","interval","color","x"
"""Drain""","true","0","1","95","500"
"""Supply""","true","0","1","34","500"

"""Drain""",,,,"""Supply"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","36.56406886530939","95","true","0","37.08136752284736","34","true"
"1","36.56406886530933","95","true","1","37.08136752284743","34","true"
"2","36.33769585164892","95","true","2","35.60912547180433","34","true"
"3","36.724509344818706","95","true","3","34.85564372845825","34","true"
"4","37.11132283798854","95","true","4","34.202823792008836","34","true"
"5","37.498136331158264","95","true","5","33.64059948176634","34","true"
"6","37.88494982432805","95","true","6","33.15991123511019","34","true"
"7","38.2717633174978","95","true","7","32.75260544568164","34","true"
"8","38.658576810667604","95","true","8","32.41134386775798","34","true"
"9","39.045390303837344","95","true","9","32.12952208018866","34","true"
"10","39.43220379700712","95","true","10","31.901196103938325","34","true"
"11","39.81901729017688","95","true","11","31.593822333019684","34","true"
"12","40.20583078334675","95","true","12","31.59547676460353","34","true"
"13","40.592644276516495","95","true","13","31.62508116981193","34","true"
"14","40.97945776968626","95","true","14","31.679840551282382","34","true"
"15","41.366271262856095","95","true","15","31.757239411388593","34","true"
"16","41.75308475602583","95","true","16","31.85501380226689","34","true"
"17","42.13989824919563","95","true","17","31.97112617084015","34","true"
"18","42.52671174236545","95","true","18","32.103742719338975","34","true"
"19","42.913525235535104","95","true","19","32.25121302977079","34","true"
"20","43.300338728704986","95","true","20","32.41205172594211","34","true"
"21","43.68715222187463","95","true","21","32.59956864271888","34","true"
"22","44.073965715044515","95","true","22","32.851334116776194","34","true"
"23","44.46077920821426","95","true","23","33.10884024443158","34","true"
"24","44.84759270138404","95","true","24","33.37151296032521","34","true"
"25","45.23440619455385","95","true","25","33.63883560563263","34","true"
"26","45.62121968772371","95","true","26","33.910343187413055","34","true"
"27","46.00803318089343","95","true","27","34.18561721201915","34","true"
"28","46.394846674063274","95","true","28","34.46428103516846","34","true"
"29","46.78166016723296","95","true","29","34.745995677006405","34","true"
"30","47.16847366040276","95","true","30","35.03045605566371","34","true"
"31","47.50188032882315","95","true","31","35.254778281780695","34","true"
"32","47.88865200431795","95","true","32","35.533464150730495","34","true"
"33","48.27538604390535","95","true","33","35.81800041800987","34","true"
"34","48.66208621117615","95","true","34","36.10780204378577","34","true"
"35","49.04875589336174","95","true","35","36.40234249220846","34","true"
"36","49.43539813897086","95","true","36","36.701147881013185","34","true"
"37","49.82201569166119","95","true","37","37.0037917161619","34","true"
"38","50.20861102072443","95","true","38","37.309890153020426","34","true"
"39","50.59518634852348","95","true","39","37.61909773141723","34","true"
"40","50.981743675184475","95","true","40","37.93110353719853","34","true"
"41","50.906172787214814","95","true","41","37.98837864440174","34","true"
"42","51.2874861270322","95","true","42","38.119876666701934","34","true"
"43","51.66897312311046","95","true","43","38.27471884138729","34","true"
"44","52.050616409823434","95","true","44","38.45058410745323","34","true"
"45","52.432400358107614","95","true","45","38.645366113386366","34","true"
"46","52.81431090180583","95","true","46","38.85716488270735","34","true"
"47","53.19633538137694","95","true","47","39.084276191247454","34","true"
"48","53.57846240323341","95","true","48","39.32518351318235","34","true"
"49","53.96068171314679","95","true","49","39.57848563866945","34","true"
"50","54.34298408231135","95","true","50","39.84296591898375","34","true"
"51","52.818421264232924","95","true","51","39.42134926992244","34","true"
"52","53.17692169947126","95","true","52","39.11727452237982","34","true"
"53","53.53669224730483","95","true","53","38.88280435023314","34","true"
"54","53.89760589647463","95","true","54","38.71097829594226","34","true"
"55","54.2595483368463","95","true","55","38.59553194772147","34","true"
"56","54.62241668930062","95","true","56","38.530827334964","34","true"
"57","54.98611836262877","95","true","57","38.51179028412353","34","true"
"58","55.35057002474327","95","true","58","38.533854039008304","34","true"
"59","55.71569667676569","95","true","59","38.592908519045814","34","true"
"60","56.08143081970506","95","true","60","38.685254651720626","34","true"
"61","51.99559560511289","95","true","61","38.074451449803604","34","true"
"62","52.12702099015856","95","true","62","37.57008793505352","34","true"
"63","52.27938524177327","95","true","63","37.158466319589934","34","true"
"64","52.45059447330044","95","true","64","36.830312413484215","34","true"
"65","52.63876418674857","95","true","65","36.57727944580059","34","true"
"66","52.842198333926135","95","true","66","36.39185532269703","34","true"
"67","53.059370471459644","95","true","67","36.26727915971534","34","true"
"68","53.28890680031364","95","true","68","36.19746616084326","34","true"
"69","53.529570901356315","95","true","69","36.176940009670005","34","true"
"70","53.780249997368166","95","true","70","36.200772021425514","34","true"
"71","48.940916580362504","95","true","71","36.118399106304565","34","true"
"72","48.48744594466764","95","true","72","36.09755807422694","34","true"
"73","48.10899898252248","95","true","73","36.1256369412869","34","true"
"74","47.79807332657251","95","true","74","36.197743717570525","34","true"
"75","47.54791684619767","95","true","75","36.30947561215559","34","true"
"76","47.35245262384119","95","true","76","36.45687011321181","34","true"
"77","47.2062114337008","95","true","77","36.63636096009225","34","true"
"78","47.10427097255474","95","true","78","36.844738518214385","34","true"
"79","47.042201167503926","95","true","79","37.07911411645401","34","true"
"80","47.01601495293847","95","true","80","37.33688795079947","34","true"
"81","42.057250750842755","95","true","81","37.33356643081852","34","true"
"82","41.58315902239574","95","true","82","37.38769762345369","34","true"
"83","41.18572096079951","95","true","83","37.4838230009791","34","true"
"84","40.857271199369066","95","true","84","37.61774314490598","34","true"
"85","40.5909109080876","95","true","85","37.78567857859399","34","true"
"86","40.380431139940576","95","true","86","37.98422777306708","34","true"
"87","40.2202438426142","95","true","87","38.2103293522468","34","true"
"88","40.10531976902685","95","true","88","38.46122807766239","34","true"
"89","40.0311325968043","95","true","89","38.73444423469029","34","true"
"90","39.9936086358099","95","true","90","39.02774608016941","34","true"
"91","35.15081513493458","95","true","91","39.010058338262276","34","true"
"92","34.79812567312186","95","true","92","39.05697366566262","34","true"
"93","34.51103691104502","95","true","93","39.14576841097806","34","true"
"94","34.282988778730584","95","true","94","39.27225463241715","34","true"
"95","34.108077213201916","95","true","95","39.43266318236724","34","true"
"96","33.980988557780506","95","true","96","39.623601827977815","34","true"
"97","33.896940521455775","95","true","97","39.84201755968239","34","true"
"98","33.85162904231805","95","true","98","40.08516266887156","34","true"
"99","33.84118046464869","95","true","99","40.35056421779699","34","true"
"100","33.862108498300515","95","true","100","40.63599656248511","34","true"
"101","29.062144990814563","95","true","101","40.291991637161715","34","true"
"102","29.395458151194042","95","true","102","40.0235357965093","34","true"
"103","29.731221986057133","95","true","103","39.823074132060306","34","true"
"104","30.069191427955257","95","true","104","39.68380722619454","34","true"
"105","30.40914591618476","95","true","105","39.599615603053465","34","true"
"106","30.750886946112658","95","true","106","39.56499173436489","34","true"
"107","31.094235863569075","95","true","107","39.57497884468346","34","true"
"108","31.439031879801163","95","true","108","39.62511583610845","34","true"
"109","31.785130284931444","95","true","109","39.71138772052904","34","true"
"110","32.13240084006985","95","true","110","39.83018100864611","34","true"
"111","27.113111782120548","95","true","111","39.48330474681184","34","true"
"112","27.44755099741151","95","true","112","39.21588388024694","34","true"
