"export-plot data (NetLogo 6.0.2)"
"UrbanVulnerability_WS.nlogo"
"01/06/2018 16:42:28:600 -0800"

"MODEL SETTINGS"
"tick-limit","motivation_to_protest","seed","budget-distribution","p_rain","fixed-seed?","initial-condition-infrastructure","tolerance_protest","neighbor-spillover-rate","t-coef","w7","infection-threshold","w8","w9","pop-density","w2","w3","use_fixed_landscape?","w4","new_infra_investment","radius_l","w5","w6","maintenance","dynamics?","landscape-type","policy_scenario","tau_ageinfra","visualization","w1","prob-outbreak"
"300","0.01","48569","""local""","0.5","true","""Old""","0.001","0.1","0.002","0.1","5000","0.7","0.5","3000","-0.024999999999999994","-0.024999999999999994","true","0.575","0.07","0","0.1","0.1","0.07","true","""many-hills""","""Expand Access""","300","""Infrastructure_F""","-0.024999999999999994","0.5"

"""Infrastructure coverage"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","364","0","6230","true","""default""","false","2"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","86","300"
"""pen-1""","true","0","1","35","300"

"""default""",,,,"""pen-1"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","2775","86","true","0","2820","35","true"
"1","2775","86","true","1","2820","35","true"
"2","2775","86","true","2","2820","35","true"
"3","2775","86","true","3","2820","35","true"
"4","2775","86","true","4","2820","35","true"
"5","2775","86","true","5","2820","35","true"
"6","2775","86","true","6","2820","35","true"
"7","2775","86","true","7","2820","35","true"
"8","2775","86","true","8","2820","35","true"
"9","2775","86","true","9","2820","35","true"
"10","2775","86","true","10","2820","35","true"
"11","2776","86","true","11","3001","35","true"
"12","2776","86","true","12","3001","35","true"
"13","2776","86","true","13","3001","35","true"
"14","2776","86","true","14","3001","35","true"
"15","2776","86","true","15","3001","35","true"
"16","2776","86","true","16","3001","35","true"
"17","2776","86","true","17","3001","35","true"
"18","2776","86","true","18","3001","35","true"
"19","2776","86","true","19","3001","35","true"
"20","2776","86","true","20","3001","35","true"
"21","2786","86","true","21","3112","35","true"
"22","2786","86","true","22","3112","35","true"
"23","2786","86","true","23","3112","35","true"
"24","2786","86","true","24","3112","35","true"
"25","2786","86","true","25","3112","35","true"
"26","2786","86","true","26","3112","35","true"
"27","2786","86","true","27","3112","35","true"
"28","2786","86","true","28","3112","35","true"
"29","2786","86","true","29","3112","35","true"
"30","2786","86","true","30","3112","35","true"
"31","2797","86","true","31","3220","35","true"
"32","2797","86","true","32","3220","35","true"
"33","2797","86","true","33","3220","35","true"
"34","2797","86","true","34","3220","35","true"
