"export-plot data (NetLogo 6.0.2)"
"UrbanVulnerability_WS.nlogo"
"01/06/2018 20:36:26:522 -0800"

"MODEL SETTINGS"
"tick-limit","motivation_to_protest","seed","budget-distribution","p_rain","fixed-seed?","initial-condition-infrastructure","tolerance_protest","neighbor-spillover-rate","t-coef","w7","infection-threshold","w8","w9","pop-density","w2","w3","use_fixed_landscape?","w4","new_infra_investment","radius_l","w5","w6","maintenance","dynamics?","landscape-type","policy_scenario","tau_ageinfra","visualization","w1","prob-outbreak"
"500","0.01","48569","""local""","0.5","true","""Old""","0.001","0.1","0.002","0.1","1500","0.7","0","3000","0.1","0.1","true","0.7","0.07","0","0.1","0.1","0.07","true","""many-hills""","""Expand Access""","300","""Flood history""","0.1","0.5"

"""Average infrastructure age"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","571","0","117","true","""Drain""","false","2"

"pen name","pen down?","mode","interval","color","x"
"""Drain""","true","0","1","95","500"
"""Supply""","true","0","1","34","500"

"""Drain""",,,,"""Supply"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","36.56406886530935","95","true","0","37.08136752284743","34","true"
"1","36.56406886530935","95","true","1","37.08136752284742","34","true"
"2","35.63365598340966","95","true","2","36.20512537806313","34","true"
"3","35.35474534686358","95","true","3","35.95391665552898","34","true"
"4","35.06556452658328","95","true","4","35.76831122604377","34","true"
"5","34.8401181906611","95","true","5","35.57463153285497","34","true"
"6","34.63733318352801","95","true","6","35.40856968078139","34","true"
"7","34.422215301595344","95","true","7","35.287335559448536","34","true"
"8","34.26528771728487","95","true","8","35.15691589656105","34","true"
"9","34.165184031907195","95","true","9","35.01196966855112","34","true"
"10","34.060597204221885","95","true","10","34.90776884063488","34","true"
"11","33.63968298187412","95","true","11","34.760985888199826","34","true"
"12","33.33270400160072","95","true","12","34.64801809549642","34","true"
"13","33.07187535774028","95","true","13","34.57830349616375","34","true"
"14","32.860686568581635","95","true","14","34.53752921038388","34","true"
"15","32.68183094359231","95","true","15","34.53304528156561","34","true"
"16","32.537191432650125","95","true","16","34.56338751301213","34","true"
"17","32.43996860235617","95","true","17","34.60529569734247","34","true"
"18","32.387978672915715","95","true","18","34.658285025697126","34","true"
"19","32.336349152692485","95","true","19","34.759113814538544","34","true"
"20","32.334977898500014","95","true","20","34.857889389855835","34","true"
"21","31.971347927996575","95","true","21","34.74722732211626","34","true"
"22","31.75177176165341","95","true","22","34.76152756023066","34","true"
"23","31.588354354824112","95","true","23","34.80950626752688","34","true"
"24","31.47274687835467","95","true","24","34.890678668985004","34","true"
"25","31.402855779101795","95","true","25","34.999174102595525","34","true"
"26","31.372486757791545","95","true","26","35.13335572782695","34","true"
"27","31.379401422624515","95","true","27","35.28971919094135","34","true"
"28","31.416013985704367","95","true","28","35.46919120647399","34","true"
"29","31.483043803471173","95","true","29","35.66645405590321","34","true"
"30","31.57484730122591","95","true","30","35.88155781864379","34","true"
"31","31.27628309770468","95","true","31","35.611916364566945","34","true"
"32","31.066146436885553","95","true","32","35.44536271158124","34","true"
"33","30.91247089127014","95","true","33","35.332417309313755","34","true"
"34","30.8096103493382","95","true","34","35.267719332692536","34","true"
"35","30.752483310721196","95","true","35","35.24644403915296","34","true"
"36","30.73651642508775","95","true","36","35.26424916038698","34","true"
"37","30.75597966390545","95","true","37","35.3182960493401","34","true"
"38","30.810396639873815","95","true","38","35.40282174039453","34","true"
"39","30.893338877006684","95","true","39","35.51683668727118","34","true"
"40","31.004766780872526","95","true","40","35.65541408537154","34","true"
"41","30.69948377845565","95","true","41","35.35865282500511","34","true"
"42","30.528060401504764","95","true","42","35.28082235709643","34","true"
"43","30.410411645494108","95","true","43","35.24934477149577","34","true"
"44","30.3411600483296","95","true","44","35.25958477997241","34","true"
"45","30.31546589412653","95","true","45","35.30737062311843","34","true"
"46","30.328973438588672","95","true","46","35.388947717467026","34","true"
"47","30.37776251184989","95","true","47","35.50093693789786","34","true"
"48","30.458304961029913","95","true","48","35.640297071802756","34","true"
"49","30.567425448537097","95","true","49","35.80429102783446","34","true"
"50","30.702266170538397","95","true","50","35.99045542377993","34","true"
"51","30.36920488105393","95","true","51","35.594687679672994","34","true"
"52","30.191502783741655","95","true","52","35.4122007489814","34","true"
"53","30.069820129503256","95","true","53","35.28771718099939","34","true"
"54","29.998554974031364","95","true","54","35.215436639456","34","true"
"55","29.972665567449283","95","true","55","35.19013882170721","34","true"
"56","29.987614334867985","95","true","56","35.20712545537376","34","true"
"57","30.039317458887353","95","true","57","35.26216809531393","34","true"
"58","30.124099503847592","95","true","58","35.3514611409005","34","true"
"59","30.238652577654307","95","true","59","35.4715795515688","34","true"
"60","30.379999577422982","95","true","60","35.61944079081056","34","true"
"61","30.227120077400016","95","true","61","35.02933544604124","34","true"
"62","30.16251365611753","95","true","62","34.59654552020232","34","true"
"63","30.145474651426536","95","true","63","34.2467334996877","34","true"
"64","30.171246321668125","95","true","64","33.97160159396518","34","true"
"65","30.235547599348813","95","true","65","33.76368179155522","34","true"
"66","30.334525523724842","95","true","66","33.616252882126766","34","true"
"67","30.46471243012653","95","true","67","33.52326577638161","34","true"
"68","30.62298742035134","95","true","68","33.479276293951365","34","true"
"69","30.806541686017084","95","true","69","33.47938467250469","34","true"
"70","31.01284729957956","95","true","70","33.5191811259431","34","true"
"71","30.779764318088365","95","true","71","33.27751475297376","34","true"
"72","30.725688679587797","95","true","72","33.21582610809098","34","true"
"73","30.717820716451218","95","true","73","33.20311368760726","34","true"
"74","30.751539661142186","95","true","74","33.23447986908282","34","true"
"75","30.822686822877618","95","true","75","33.30551679232147","34","true"
"76","30.927519379953406","95","true","76","33.41225738314707","34","true"
"77","31.062668792835403","95","true","77","33.55113127480097","34","true"
"78","31.225103375942965","95","true","78","33.71892513720012","34","true"
"79","31.412094612253732","95","true","79","33.91274697327022","34","true"
"80","31.621186836447006","95","true","80","34.12999398564408","34","true"
"81","31.37999352753604","95","true","81","34.09584873052116","34","true"
"82","31.316248499087806","95","true","82","34.21565175616411","34","true"
"83","31.30017989709763","95","true","83","34.36858181127532","34","true"
"84","31.327020078919524","95","true","84","34.55132619290777","34","true"
"85","31.39247816617222","95","true","85","34.760903468409204","34","true"
"86","31.49269236831263","95","true","86","34.99463034839283","34","true"
"87","31.624187073852134","95","true","87","35.25009187241035","34","true"
"88","31.783834232450648","95","true","88","35.52511457605857","34","true"
"89","31.968818598802514","95","true","89","35.81774234137429","34","true"
"90","32.176606452132035","95","true","90","36.12621466219076","34","true"
"91","32.02553818561362","95","true","91","36.02174553059988","34","true"
"92","31.97635188782272","95","true","92","36.06663016998692","34","true"
"93","31.97551884484585","95","true","93","36.15280276026661","34","true"
"94","32.018203731201524","95","true","94","36.27613450634973","34","true"
"95","32.10005475395652","95","true","95","36.432909492655845","34","true"
"96","32.21715529947068","95","true","96","36.619783395162656","34","true"
"97","32.36598041546836","95","true","97","36.83374632225014","34","true"
"98","32.54335764490103","95","true","98","37.07208937146012","34","true"
"99","32.74643177642548","95","true","99","37.33237453058062","34","true"
"100","32.972633119832224","95","true","100","37.612407588620265","34","true"
"101","33.00159891270809","95","true","101","37.369091763175746","34","true"
"102","33.161095602849585","95","true","102","37.326570081374214","34","true"
"103","33.35126933153211","95","true","103","37.33368668428476","34","true"
"104","33.569052394901526","95","true","104","37.385477743436205","34","true"
"105","33.81168385948894","95","true","105","37.477475813204435","34","true"
"106","34.07667888517258","95","true","106","37.605660192527665","34","true"
"107","34.36180111584304","95","true","107","37.76641225045047","34","true"
"108","34.66503783100145","95","true","108","37.95647521911296","34","true"
"109","34.98457758219911","95","true","109","38.172918007441325","34","true"
"110","35.318790065832076","95","true","110","38.4131026334685","34","true"
"111","35.284429080318965","95","true","111","38.31819946532197","34","true"
"112","35.373494182291786","95","true","112","38.390026199788004","34","true"
"113","35.50071159759679","95","true","113","38.50242604558584","34","true"
"114","35.66226609490089","95","true","114","38.65134169158236","34","true"
"115","35.85472396600383","95","true","115","38.833121557757416","34","true"
"116","36.07499487352595","95","true","116","39.04447922209346","34","true"
"117","36.32029751382515","95","true","117","39.28245690477419","34","true"
"118","36.58812871362396","95","true","118","39.54439260396505","34","true"
"119","36.876235616972295","95","true","119","39.82789051801551","34","true"
"120","37.18259065351505","95","true","120","40.130794425439184","34","true"
"121","37.075288448851886","95","true","121","40.19426439944278","34","true"
"122","37.127345609169666","95","true","122","40.37154199131997","34","true"
"123","37.22167405373461","95","true","123","40.58123121625937","34","true"
"124","37.35404665412175","95","true","124","40.82009091095459","34","true"
"125","37.52065899474896","95","true","125","41.08520402842988","34","true"
"126","37.71808710159231","95","true","126","41.37394522640777","34","true"
"127","37.943249398030076","95","true","127","41.683951696837326","34","true"
"128","38.193372465102804","95","true","128","42.0130969124739","34","true"
"129","38.4659602257472","95","true","129","42.3594669987966","34","true"
"130","38.75876621060572","95","true","130","42.721339468736744","34","true"
"131","38.57625917475761","95","true","131","42.808569401948894","34","true"
"132","38.57381523425544","95","true","132","43.0174050285109","34","true"
"133","38.620068433830916","95","true","133","43.25732252313865","34","true"
"134","38.71014905947616","95","true","134","43.52521369902573","34","true"
"135","38.839674368584156","95","true","135","43.818281188046015","34","true"
"136","39.00469989280874","95","true","136","44.134007358886535","34","true"
"137","39.20167561063803","95","true","137","44.47012634336487","34","true"
"138","39.42740650271176","95","true","138","44.82459886011757","34","true"
"139","39.67901705160567","95","true","139","45.195589555917145","34","true"
"140","39.95391929163732","95","true","140","45.581446612858436","34","true"
"141","39.77284938338574","95","true","141","45.534097549303084","34","true"
"142","39.748591437891825","95","true","142","45.63058312511628","34","true"
"143","39.77698231454709","95","true","143","45.77041707671876","34","true"
"144","39.85275713113671","95","true","144","45.94926456653133","34","true"
"145","39.97117749366664","95","true","145","46.163224240733136","34","true"
"146","40.12797884754348","95","true","146","46.40878488088541","34","true"
"147","40.319323093632335","95","true","147","46.682786390392856","34","true"
"148","40.54175594271183","95","true","148","46.98238468232005","34","true"
"149","40.79216853448319","95","true","149","47.30502007842525","34","true"
"150","41.06776289467686","95","true","150","47.648388868290176","34","true"
"151","40.930571760573336","95","true","151","47.419390247446266","34","true"
"152","40.9370041963801","95","true","152","47.37246575601314","34","true"
"153","40.99533032755233","95","true","153","47.38371851996828","34","true"
"154","41.10036078455379","95","true","154","47.44733081377258","34","true"
"155","41.24742513480104","95","true","155","47.55806668444129","34","true"
"156","41.43231998896982","95","true","156","47.71121377428772","34","true"
"157","41.6512622966679","95","true","157","47.902530961394454","34","true"
"158","41.900847312542325","95","true","158","48.12820123603527","34","true"
"159","42.178010765775596","95","true","159","48.384789289456855","34","true"
"160","42.47999481263157","95","true","160","48.669203343780794","34","true"
"161","42.42615760418276","95","true","161","48.36437600919598","34","true"
"162","42.43588002784593","95","true","162","48.14870942069209","34","true"
"163","42.49938348486061","95","true","163","48.008679744732376","34","true"
"164","42.611289871891735","95","true","164","47.936723290062666","34","true"
"165","42.766758895937485","95","true","165","47.9260327345535","34","true"
"166","42.96143429329675","95","true","166","47.9704814882895","34","true"
"167","43.19139542663783","95","true","167","48.06455562034575","34","true"
"168","43.453113722362595","95","true","168","48.203292592890065","34","true"
"169","43.74341346423296","95","true","169","48.38222612187398","34","true"
"170","44.05943650763416","95","true","170","48.59733655165327","34","true"
"171","43.987216796168084","95","true","171","48.41251222070966","34","true"
"172","44.004076455569695","95","true","172","48.33624719909534","34","true"
"173","44.074853717472934","95","true","173","48.32363042483337","34","true"
"174","44.19415682162741","95","true","174","48.368297073188636","34","true"
"175","44.35713318380793","95","true","175","48.46451880189932","34","true"
"176","44.5594154782121","95","true","176","48.60714010292996","34","true"
"177","44.79707311161747","95","true","177","48.79152101904851","34","true"
"178","45.06656855012361","95","true","178","49.01348558874611","34","true"
"179","45.364718013221015","95","true","179","49.269275446664885","34","true"
"180","45.688656098450295","95","true","180","49.555508063982934","34","true"
"181","45.765381046685505","95","true","181","49.28099058077048","34","true"
"182","45.907561649701556","95","true","182","49.12029102541882","34","true"
"183","46.09392954507842","95","true","183","49.0316831707931","34","true"
"184","46.32006600357997","95","true","184","49.00795784682106","34","true"
"185","46.58199416889398","95","true","185","49.04262680043711","34","true"
"186","46.876134870338646","95","true","186","49.12985060388259","34","true"
"187","47.19926685430139","95","true","187","49.264373772174466","34","true"
"188","47.548490992530304","95","true","188","49.44146636882798","34","true"
"189","47.921198069598645","95","true","189","49.656871451007284","34","true"
"190","48.315039791622404","95","true","190","49.90675777015961","34","true"
"191","48.24612685535242","95","true","191","49.85524792638552","34","true"
"192","48.32012778019444","95","true","192","49.92878146325149","34","true"
"193","48.44500851218998","95","true","193","50.05391062886736","34","true"
"194","48.6156810706236","95","true","194","50.225475860357996","34","true"
"195","48.82756627285118","95","true","195","50.43883355113617","34","true"
"196","49.07654285449347","95","true","196","50.68980445527333","34","true"
"197","49.3589016776095","95","true","197","50.97462725143318","34","true"
"198","49.67130451805124","95","true","198","51.28991675041364","34","true"
"199","50.010746974086565","95","true","199","51.632626281932794","34","true"
"200","50.37452508415573","95","true","200","52.000013842736536","34","true"
"201","50.16625788718607","95","true","201","52.10473601160314","34","true"
"202","50.14461167404437","95","true","202","52.34126006170711","34","true"
"203","50.18346573875426","95","true","203","52.61582671655808","34","true"
"204","50.276770053530726","95","true","204","52.924631715681535","34","true"
"205","50.41907959336679","95","true","205","53.26425122464982","34","true"
"206","50.60549383575693","95","true","206","53.631603792479034","34","true"
"207","50.83160231044559","95","true","207","54.02391611328262","34","true"
"208","51.09343559420279","95","true","208","54.43869221176317","34","true"
"209","51.38742120612199","95","true","209","54.87368571015346","34","true"
"210","51.71034391338642","95","true","210","55.32687486846199","34","true"
"211","51.47024403336591","95","true","211","54.41823994422831","34","true"
"212","51.476856263465585","95","true","212","54.47152338742502","34","true"
"213","51.542913208664736","95","true","213","54.581912274983125","34","true"
"214","51.66247039745404","95","true","214","54.74369606246703","34","true"
"215","51.83017780547423","95","true","215","54.95173525988355","34","true"
"216","52.0412204108023","95","true","216","55.20140432624012","34","true"
"217","52.29126469370724","95","true","217","55.48854027464214","34","true"
"218","52.5764104864316","95","true","218","55.80939641688539","34","true"
"219","52.893147637993394","95","true","219","56.1606007335857","34","true"
"220","53.238317012508794","95","true","220","56.539118407297195","34","true"
"221","52.90012095846667","95","true","221","56.37830895954461","34","true"
"222","52.93046168750996","95","true","222","56.509761462520764","34","true"
"223","53.01921244735665","95","true","223","56.69185460870314","34","true"
"224","53.16053223492661","95","true","224","56.91952433377186","34","true"
"225","53.349164147447205","95","true","225","57.18821297983783","34","true"
"226","53.58037697242388","95","true","226","57.49381865480183","34","true"
"227","53.8499126186105","95","true","227","57.83264965577333","34","true"
"228","54.1539388038863","95","true","228","58.20138345015226","34","true"
"229","54.48900647434228","95","true","229","58.59702975859765","34","true"
"230","54.85201148146079","95","true","230","59.01689732970265","34","true"
"231","54.57011310204366","95","true","231","58.95953640441419","34","true"
"232","54.56062294829397","95","true","232","59.09565101384864","34","true"
"233","54.61445984170049","95","true","233","59.28375215509098","34","true"
"234","54.725291077548064","95","true","234","59.518641174960855","34","true"
"235","54.88741722159217","95","true","235","59.79563928559526","34","true"
"236","55.09570878301328","95","true","236","60.11053557791792","34","true"
"237","55.34554922007361","95","true","237","60.459540233759796","34","true"
"238","55.63278364520946","95","true","238","60.83924241676917","34","true"
"239","55.953672659613","95","true","239","61.246572374229174","34","true"
"240","56.30485080435769","95","true","240","61.67876732869478","34","true"
"241","56.286404629706865","95","true","241","61.41652423440995","34","true"
"242","56.37853693721713","95","true","242","61.3892769627373","34","true"
"243","56.52653825540337","95","true","243","61.43043604633328","34","true"
"244","56.72482168319839","95","true","244","61.53316084967103","34","true"
"245","56.968359009641254","95","true","245","61.6912948007765","34","true"
"246","57.252624844867285","95","true","246","61.89929698487296","34","true"
"247","57.573546337998145","95","true","247","62.15218057866115","34","true"
"248","57.92745792324327","95","true","248","62.44545744117221","34","true"
"249","58.31106059139121","95","true","249","62.77508824553359","34","true"
"250","58.72138523415164","95","true","250","63.13743759756019","34","true"
"251","58.703415307521354","95","true","251","62.875383264215266","34","true"
"252","58.79734998212146","95","true","252","62.8377307535396","34","true"
"253","58.94888310451102","95","true","253","62.87040329320632","34","true"
"254","59.152254829911","95","true","254","62.96636837818191","34","true"
"255","59.402281298020704","95","true","255","63.11929675393473","34","true"
"256","59.69429703456878","95","true","256","63.323492091387536","34","true"
"257","60.024103112711686","95","true","257","63.57382769437029","34","true"
"258","60.38792049828969","95","true","258","63.86568953632993","34","true"
"259","60.78234806055949","95","true","259","64.19492499336862","34","true"
"260","61.20432478185174","95","true","260","64.55779670397875","34","true"
"261","61.15207759969781","95","true","261","64.39408383371357","34","true"
"262","61.23786839099678","95","true","262","64.3893495079503","34","true"
"263","61.38325685253872","95","true","263","64.4532653641359","34","true"
"264","61.582283217299064","95","true","264","64.5789663840758","34","true"
"265","61.82958369495595","95","true","265","64.76027405139433","34","true"
