"export-plot data (NetLogo 6.0.2)"
"UrbanVulnerability_WS.nlogo"
"01/06/2018 21:29:07:947 -0800"

"MODEL SETTINGS"
"tick-limit","motivation_to_protest","seed","budget-distribution","p_rain","fixed-seed?","initial-condition-infrastructure","tolerance_protest","neighbor-spillover-rate","t-coef","w7","infection-threshold","w8","w9","pop-density","w2","w3","use_fixed_landscape?","w4","new_infra_investment","radius_l","w5","w6","maintenance","dynamics?","landscape-type","policy_scenario","tau_ageinfra","visualization","w1","prob-outbreak"
"500","0.01","48569","""local""","0.5","true","""Old""","0.001","0.1","0.003","0.1","1500","0.7","0","3000","0.1","0.1","true","0.7","0.07","0","0.1","0.1","0.07","true","""many-hills""","""Expand Access""","300","""Flood history""","0.1","0.5"

"""Infrastructure coverage"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","571","0","7060","true","""default""","false","2"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","86","500"
"""pen-1""","true","0","1","35","500"

"""default""",,,,"""pen-1"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","2775","86","true","0","2820","35","true"
"1","2775","86","true","1","2820","35","true"
"2","2775","86","true","2","2820","35","true"
"3","2775","86","true","3","2820","35","true"
"4","2775","86","true","4","2820","35","true"
"5","2775","86","true","5","2820","35","true"
"6","2775","86","true","6","2820","35","true"
"7","2775","86","true","7","2820","35","true"
"8","2775","86","true","8","2820","35","true"
"9","2775","86","true","9","2820","35","true"
"10","2775","86","true","10","2820","35","true"
"11","2879","86","true","11","2917","35","true"
"12","2879","86","true","12","2917","35","true"
"13","2879","86","true","13","2917","35","true"
"14","2879","86","true","14","2917","35","true"
"15","2879","86","true","15","2917","35","true"
"16","2879","86","true","16","2917","35","true"
"17","2879","86","true","17","2917","35","true"
"18","2879","86","true","18","2917","35","true"
"19","2879","86","true","19","2917","35","true"
"20","2879","86","true","20","2917","35","true"
"21","2978","86","true","21","3019","35","true"
"22","2978","86","true","22","3019","35","true"
"23","2978","86","true","23","3019","35","true"
"24","2978","86","true","24","3019","35","true"
"25","2978","86","true","25","3019","35","true"
"26","2978","86","true","26","3019","35","true"
"27","2978","86","true","27","3019","35","true"
"28","2978","86","true","28","3019","35","true"
"29","2978","86","true","29","3019","35","true"
"30","2978","86","true","30","3019","35","true"
"31","3074","86","true","31","3124","35","true"
"32","3074","86","true","32","3124","35","true"
"33","3074","86","true","33","3124","35","true"
"34","3074","86","true","34","3124","35","true"
"35","3074","86","true","35","3124","35","true"
"36","3074","86","true","36","3124","35","true"
"37","3074","86","true","37","3124","35","true"
"38","3074","86","true","38","3124","35","true"
"39","3074","86","true","39","3124","35","true"
"40","3074","86","true","40","3124","35","true"
"41","3177","86","true","41","3222","35","true"
"42","3177","86","true","42","3222","35","true"
"43","3177","86","true","43","3222","35","true"
"44","3177","86","true","44","3222","35","true"
"45","3177","86","true","45","3222","35","true"
"46","3177","86","true","46","3222","35","true"
"47","3177","86","true","47","3222","35","true"
"48","3177","86","true","48","3222","35","true"
"49","3177","86","true","49","3222","35","true"
"50","3177","86","true","50","3222","35","true"
"51","3271","86","true","51","3329","35","true"
"52","3271","86","true","52","3329","35","true"
"53","3271","86","true","53","3329","35","true"
"54","3271","86","true","54","3329","35","true"
"55","3271","86","true","55","3329","35","true"
"56","3271","86","true","56","3329","35","true"
"57","3271","86","true","57","3329","35","true"
"58","3271","86","true","58","3329","35","true"
"59","3271","86","true","59","3329","35","true"
"60","3271","86","true","60","3329","35","true"
"61","3384","86","true","61","3417","35","true"
"62","3384","86","true","62","3417","35","true"
"63","3384","86","true","63","3417","35","true"
"64","3384","86","true","64","3417","35","true"
"65","3384","86","true","65","3417","35","true"
"66","3384","86","true","66","3417","35","true"
"67","3384","86","true","67","3417","35","true"
"68","3384","86","true","68","3417","35","true"
"69","3384","86","true","69","3417","35","true"
"70","3384","86","true","70","3417","35","true"
"71","3487","86","true","71","3515","35","true"
"72","3487","86","true","72","3515","35","true"
"73","3487","86","true","73","3515","35","true"
"74","3487","86","true","74","3515","35","true"
"75","3487","86","true","75","3515","35","true"
"76","3487","86","true","76","3515","35","true"
"77","3487","86","true","77","3515","35","true"
"78","3487","86","true","78","3515","35","true"
"79","3487","86","true","79","3515","35","true"
"80","3487","86","true","80","3515","35","true"
"81","3592","86","true","81","3611","35","true"
"82","3592","86","true","82","3611","35","true"
"83","3592","86","true","83","3611","35","true"
"84","3592","86","true","84","3611","35","true"
"85","3592","86","true","85","3611","35","true"
"86","3592","86","true","86","3611","35","true"
"87","3592","86","true","87","3611","35","true"
"88","3592","86","true","88","3611","35","true"
"89","3592","86","true","89","3611","35","true"
"90","3592","86","true","90","3611","35","true"
"91","3689","86","true","91","3715","35","true"
"92","3689","86","true","92","3715","35","true"
"93","3689","86","true","93","3715","35","true"
"94","3689","86","true","94","3715","35","true"
"95","3689","86","true","95","3715","35","true"
"96","3689","86","true","96","3715","35","true"
