"export-plot data (NetLogo 6.0.2)"
"UrbanVulnerability_WS.nlogo"
"01/06/2018 16:43:38:170 -0800"

"MODEL SETTINGS"
"tick-limit","motivation_to_protest","seed","budget-distribution","p_rain","fixed-seed?","initial-condition-infrastructure","tolerance_protest","neighbor-spillover-rate","t-coef","w7","infection-threshold","w8","w9","pop-density","w2","w3","use_fixed_landscape?","w4","new_infra_investment","radius_l","w5","w6","maintenance","dynamics?","landscape-type","policy_scenario","tau_ageinfra","visualization","w1","prob-outbreak"
"300","0.01","48569","""local""","0.5","true","""Old""","0.001","0.1","0.002","0.25","5000","0.25","0.7","3000","0.07500000000000001","0.07500000000000001","true","0.07500000000000001","0.07","0","0.25","0.25","0.07","true","""many-hills""","""Balanced""","300","""Infrastructure_F""","0.07500000000000001","0.5"

"""Average infrastructure age"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","364","0","80.3","true","""Drain""","false","2"

"pen name","pen down?","mode","interval","color","x"
"""Drain""","true","0","1","95","300"
"""Supply""","true","0","1","34","300"

"""Drain""",,,,"""Supply"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","36.56406886530928","95","true","0","37.081367522847415","34","true"
"1","36.564068865309316","95","true","1","37.08136752284741","34","true"
"2","36.33769585164891","95","true","2","35.50042376346389","34","true"
"3","36.72450934481873","95","true","3","34.649110482611505","34","true"
"4","37.111322837988446","95","true","4","33.90824216240636","34","true"
"5","37.498136331158264","95","true","5","33.266774306783724","34","true"
"6","37.88494982432799","95","true","6","32.71476686928542","34","true"
"7","38.27176331749779","95","true","7","32.24327380809894","34","true"
"8","38.658576810667604","95","true","8","31.84424368559309","34","true"
"9","39.04539030383732","95","true","9","31.51043020789997","34","true"
"10","39.43220379700712","95","true","10","31.23531171053807","34","true"
"11","39.5098359311579","95","true","11","30.40731284796492","34","true"
"12","39.84376028173158","95","true","12","29.707112164555756","34","true"
"13","40.18219294996595","95","true","13","29.10559059604459","34","true"
"14","40.52468310409515","95","true","14","28.592880230941343","34","true"
"15","40.87082499552958","95","true","15","28.160099948905685","34","true"
"16","41.220253450538706","95","true","16","27.799256741630458","34","true"
"17","41.57263981276511","95","true","17","27.50315690163975","34","true"
"18","41.92768829148703","95","true","18","27.26532609220519","34","true"
"19","42.28513267505481","95","true","19","27.079937410271093","34","true"
"20","42.64473337298389","95","true","20","26.941746643087363","34","true"
"21","42.58871605839592","95","true","21","26.327544542172593","34","true"
"22","42.941183895435245","95","true","22","25.812823362176214","34","true"
"23","43.29641721528861","95","true","23","25.3805751365331","34","true"
"24","43.65413946967456","95","true","24","25.022552569807686","34","true"
"25","44.01410176513986","95","true","25","24.73133309610826","34","true"
"26","44.3760800975767","95","true","26","24.500236406132395","34","true"
"27","44.73987286328771","95","true","27","24.323250221507607","34","true"
"28","45.10529861894572","95","true","28","24.19496349169874","34","true"
"29","45.472194065555826","95","true","29","24.110506271224356","34","true"
"30","45.84041223402295","95","true","30","24.065495609150805","34","true"
"31","45.8563698354289","95","true","31","23.633900728521894","34","true"
"32","46.161106900496016","95","true","32","23.29675460749564","34","true"
"33","46.47317343719959","95","true","33","23.027111779921256","34","true"
"34","46.79183649837616","95","true","34","22.818221916453737","34","true"
"35","47.11643643157816","95","true","35","22.664009720682188","34","true"
"36","47.44637954960359","95","true","36","22.55900742583719","34","true"
"37","47.78113153396967","95","true","37","22.498294041825975","34","true"
"38","48.120211498042515","95","true","38","22.4774406775652","34","true"
"39","48.46318664385133","95","true","39","22.49246133107981","34","true"
"40","48.80966745322248","95","true","40","22.539768600592378","34","true"
"41","45.53624832210489","95","true","41","22.669315507883482","34","true"
"42","45.34652001105196","95","true","42","22.84302205803952","34","true"
"43","45.20744838948192","95","true","43","23.039739887944425","34","true"
"44","45.113967788446544","95","true","44","23.257167869623245","34","true"
"45","45.0615191058918","95","true","45","23.49323498789858","34","true"
"46","45.04599914997024","95","true","46","23.746077329110914","34","true"
"47","45.063715048018125","95","true","47","24.014017370966332","34","true"
"48","45.111343214638936","95","true","48","24.295545343400725","34","true"
"49","45.18589242297502","95","true","49","24.589302453356037","34","true"
"50","45.284670568854764","95","true","50","24.894065787080283","34","true"
"51","45.16975993846015","95","true","51","24.545276804201364","34","true"
