"export-plot data (NetLogo 6.0.2)"
"UrbanVulnerability_WS.nlogo"
"01/06/2018 16:43:38:155 -0800"

"MODEL SETTINGS"
"tick-limit","motivation_to_protest","seed","budget-distribution","p_rain","fixed-seed?","initial-condition-infrastructure","tolerance_protest","neighbor-spillover-rate","t-coef","w7","infection-threshold","w8","w9","pop-density","w2","w3","use_fixed_landscape?","w4","new_infra_investment","radius_l","w5","w6","maintenance","dynamics?","landscape-type","policy_scenario","tau_ageinfra","visualization","w1","prob-outbreak"
"300","0.01","48569","""local""","0.5","true","""Old""","0.001","0.1","0.002","0.25","5000","0.25","0.7","3000","0.07500000000000001","0.07500000000000001","true","0.07500000000000001","0.07","0","0.25","0.25","0.07","true","""many-hills""","""Balanced""","300","""Infrastructure_F""","0.07500000000000001","0.5"

"""Infrastructure coverage"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","364","0","6630","true","""default""","false","2"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","86","300"
"""pen-1""","true","0","1","35","300"

"""default""",,,,"""pen-1"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","2775","86","true","0","2820","35","true"
"1","2775","86","true","1","2820","35","true"
"2","2775","86","true","2","2820","35","true"
"3","2775","86","true","3","2820","35","true"
"4","2775","86","true","4","2820","35","true"
"5","2775","86","true","5","2820","35","true"
"6","2775","86","true","6","2820","35","true"
"7","2775","86","true","7","2820","35","true"
"8","2775","86","true","8","2820","35","true"
"9","2775","86","true","9","2820","35","true"
"10","2775","86","true","10","2820","35","true"
"11","2776","86","true","11","3003","35","true"
"12","2776","86","true","12","3003","35","true"
"13","2776","86","true","13","3003","35","true"
"14","2776","86","true","14","3003","35","true"
"15","2776","86","true","15","3003","35","true"
"16","2776","86","true","16","3003","35","true"
"17","2776","86","true","17","3003","35","true"
"18","2776","86","true","18","3003","35","true"
"19","2776","86","true","19","3003","35","true"
"20","2776","86","true","20","3003","35","true"
"21","2780","86","true","21","3175","35","true"
"22","2780","86","true","22","3175","35","true"
"23","2780","86","true","23","3175","35","true"
"24","2780","86","true","24","3175","35","true"
"25","2780","86","true","25","3175","35","true"
"26","2780","86","true","26","3175","35","true"
"27","2780","86","true","27","3175","35","true"
"28","2780","86","true","28","3175","35","true"
"29","2780","86","true","29","3175","35","true"
