"export-plot data (NetLogo 6.0.2)"
"UrbanVulnerability_WS.nlogo"
"01/06/2018 16:46:47:838 -0800"

"MODEL SETTINGS"
"tick-limit","motivation_to_protest","seed","budget-distribution","p_rain","fixed-seed?","initial-condition-infrastructure","tolerance_protest","neighbor-spillover-rate","t-coef","w7","infection-threshold","w8","w9","pop-density","w2","w3","use_fixed_landscape?","w4","new_infra_investment","radius_l","w5","w6","maintenance","dynamics?","landscape-type","policy_scenario","tau_ageinfra","visualization","w1","prob-outbreak"
"300","0.01","48569","""local""","0.5","true","""Old""","0.001","0.1","0.002","0.7","5000","0.1","0.5","3000","-0.024999999999999994","0.575","true","-0.024999999999999994","0.07","0","0.1","0.1","0.07","true","""many-hills""","""Repair First""","300","""Infrastructure_F""","-0.024999999999999994","0.5"

"""Average infrastructure age"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","364","0","97.3","true","""Drain""","false","2"

"pen name","pen down?","mode","interval","color","x"
"""Drain""","true","0","1","95","300"
"""Supply""","true","0","1","34","300"

"""Drain""",,,,"""Supply"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","36.56406886530935","95","true","0","37.0813675228475","34","true"
"1","36.56406886530937","95","true","1","37.08136752284739","34","true"
"2","36.33769585164886","95","true","2","35.49398334807257","34","true"
"3","36.72450934481868","95","true","3","34.63687369336785","34","true"
"4","37.111322837988446","95","true","4","33.89078863669584","34","true"
"5","37.49813633115828","95","true","5","33.2446257182529","34","true"
"6","37.884949824328025","95","true","6","32.68839272421634","34","true"
"7","38.27176331749781","95","true","7","32.21309666214545","34","true"
"8","38.65857681066754","95","true","8","31.810643838843706","34","true"
"9","39.045390303837344","95","true","9","31.47374993043417","34","true"
"10","39.43220379700707","95","true","10","31.195859045427497","34","true"
"11","39.743354695407405","95","true","11","30.278163403255785","34","true"
"12","40.06137489203548","95","true","12","29.48104970333291","34","true"
"13","40.38557745706892","95","true","13","28.792459751434137","34","true"
"14","40.71534415366695","95","true","14","28.20154117275697","34","true"
"15","41.05011856867326","95","true","15","27.69852682997943","34","true"
"16","41.389399930246896","95","true","16","27.274626299511354","34","true"
"17","41.732737543731226","95","true","17","26.92192820012185","34","true"
"18","42.07972578393512","95","true","18","26.633312288703035","34","true"
"19","42.42999958818674","95","true","19","26.40237034645801","34","true"
"20","42.78323040008105","95","true","20","26.22333497646912","34","true"
"21","41.60334039056761","95","true","21","26.60989217072564","34","true"
"22","40.56675301456756","95","true","22","27.00207856331511","34","true"
"23","39.65913800872943","95","true","23","27.399331234404205","34","true"
"24","38.86759813603718","95","true","24","27.80114355614302","34","true"
"25","38.180525883176244","95","true","25","28.2070595634664","34","true"
"26","37.58747448816349","95","true","26","28.616668887816147","34","true"
"27","37.079041865213945","95","true","27","29.029602197489265","34","true"
"28","36.646766137121375","95","true","28","29.445527093953938","34","true"
"29","36.283031614400144","95","true","29","29.864144418530543","34","true"
"30","35.98098417651303","95","true","30","30.285184928408093","34","true"
"31","34.73126678959043","95","true","31","30.70886829916383","34","true"
"32","33.63166750322247","95","true","32","31.13743730552324","34","true"
"33","32.66717450735348","95","true","33","31.570403383925868","34","true"
"34","31.824277172933783","95","true","34","32.00732682716722","34","true"
"35","31.090815933818305","95","true","35","32.44781189876355","34","true"
"36","30.455847180476546","95","true","36","32.89150243587944","34","true"
"37","29.90952166433145","95","true","37","33.338077891962925","34","true"
"38","29.442975061662963","95","true","38","33.78724977511701","34","true"
"39","29.04822948112371","95","true","39","34.23875844263489","34","true"
"40","28.71810482050059","95","true","40","34.69237021608015","34","true"
"41","29.015723665301863","95","true","41","33.83413222330085","34","true"
"42","29.32138380376634","95","true","42","33.09911697041822","34","true"
"43","29.63428110652758","95","true","43","32.47500218344303","34","true"
"44","29.953691857156112","95","true","44","31.95069781578404","34","true"
"45","30.2789647108649","95","true","45","31.516222825509928","34","true"
"46","30.60951345734625","95","true","46","31.162594274882043","34","true"
"47","30.94481050732274","95","true","47","30.881727519935996","34","true"
"48","31.284381030444944","95","true","48","30.666346381103242","34","true"
"49","31.627797679398086","95","true","49","30.509902296772864","34","true"
