"export-plot data (NetLogo 6.0.2)"
"UrbanVulnerability_WS.nlogo"
"01/06/2018 21:41:29:132 -0800"

"MODEL SETTINGS"
"tick-limit","motivation_to_protest","seed","budget-distribution","p_rain","fixed-seed?","initial-condition-infrastructure","tolerance_protest","neighbor-spillover-rate","t-coef","w7","infection-threshold","w8","w9","pop-density","w2","w3","use_fixed_landscape?","w4","new_infra_investment","radius_l","w5","w6","maintenance","dynamics?","landscape-type","policy_scenario","tau_ageinfra","visualization","w1","prob-outbreak"
"500","0.01","48569","""local""","0.5","true","""Old""","0.001","0.1","0.003","0.7","1500","0.1","0","3000","0.1","0.7","true","0.1","0.07","0","0.1","0.1","0.07","true","""many-hills""","""Repair First""","300","""Infrastructure_F""","0.1","0.5"

"""Infrastructure coverage"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","571","0","6010","true","""default""","false","2"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","86","500"
"""pen-1""","true","0","1","35","500"

"""default""",,,,"""pen-1"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","2775","86","true","0","2820","35","true"
"1","2775","86","true","1","2820","35","true"
"2","2775","86","true","2","2820","35","true"
"3","2775","86","true","3","2820","35","true"
"4","2775","86","true","4","2820","35","true"
"5","2775","86","true","5","2820","35","true"
"6","2775","86","true","6","2820","35","true"
"7","2775","86","true","7","2820","35","true"
"8","2775","86","true","8","2820","35","true"
"9","2775","86","true","9","2820","35","true"
"10","2775","86","true","10","2820","35","true"
"11","2869","86","true","11","2927","35","true"
"12","2869","86","true","12","2927","35","true"
"13","2869","86","true","13","2927","35","true"
"14","2869","86","true","14","2927","35","true"
"15","2869","86","true","15","2927","35","true"
"16","2869","86","true","16","2927","35","true"
"17","2869","86","true","17","2927","35","true"
"18","2869","86","true","18","2927","35","true"
"19","2869","86","true","19","2927","35","true"
"20","2869","86","true","20","2927","35","true"
"21","2964","86","true","21","3033","35","true"
"22","2964","86","true","22","3033","35","true"
"23","2964","86","true","23","3033","35","true"
"24","2964","86","true","24","3033","35","true"
"25","2964","86","true","25","3033","35","true"
"26","2964","86","true","26","3033","35","true"
"27","2964","86","true","27","3033","35","true"
"28","2964","86","true","28","3033","35","true"
"29","2964","86","true","29","3033","35","true"
"30","2964","86","true","30","3033","35","true"
"31","3048","86","true","31","3150","35","true"
"32","3048","86","true","32","3150","35","true"
"33","3048","86","true","33","3150","35","true"
"34","3048","86","true","34","3150","35","true"
"35","3048","86","true","35","3150","35","true"
"36","3048","86","true","36","3150","35","true"
"37","3048","86","true","37","3150","35","true"
"38","3048","86","true","38","3150","35","true"
"39","3048","86","true","39","3150","35","true"
"40","3048","86","true","40","3150","35","true"
"41","3151","86","true","41","3248","35","true"
"42","3151","86","true","42","3248","35","true"
"43","3151","86","true","43","3248","35","true"
"44","3151","86","true","44","3248","35","true"
"45","3151","86","true","45","3248","35","true"
"46","3151","86","true","46","3248","35","true"
"47","3151","86","true","47","3248","35","true"
"48","3151","86","true","48","3248","35","true"
"49","3151","86","true","49","3248","35","true"
"50","3151","86","true","50","3248","35","true"
"51","3253","86","true","51","3347","35","true"
"52","3253","86","true","52","3347","35","true"
"53","3253","86","true","53","3347","35","true"
"54","3253","86","true","54","3347","35","true"
"55","3253","86","true","55","3347","35","true"
"56","3253","86","true","56","3347","35","true"
"57","3253","86","true","57","3347","35","true"
"58","3253","86","true","58","3347","35","true"
"59","3253","86","true","59","3347","35","true"
"60","3253","86","true","60","3347","35","true"
"61","3352","86","true","61","3449","35","true"
"62","3352","86","true","62","3449","35","true"
"63","3352","86","true","63","3449","35","true"
"64","3352","86","true","64","3449","35","true"
"65","3352","86","true","65","3449","35","true"
"66","3352","86","true","66","3449","35","true"
"67","3352","86","true","67","3449","35","true"
"68","3352","86","true","68","3449","35","true"
"69","3352","86","true","69","3449","35","true"
"70","3352","86","true","70","3449","35","true"
"71","3457","86","true","71","3545","35","true"
"72","3457","86","true","72","3545","35","true"
"73","3457","86","true","73","3545","35","true"
"74","3457","86","true","74","3545","35","true"
"75","3457","86","true","75","3545","35","true"
"76","3457","86","true","76","3545","35","true"
"77","3457","86","true","77","3545","35","true"
"78","3457","86","true","78","3545","35","true"
"79","3457","86","true","79","3545","35","true"
"80","3457","86","true","80","3545","35","true"
"81","3557","86","true","81","3646","35","true"
"82","3557","86","true","82","3646","35","true"
"83","3557","86","true","83","3646","35","true"
"84","3557","86","true","84","3646","35","true"
"85","3557","86","true","85","3646","35","true"
"86","3557","86","true","86","3646","35","true"
"87","3557","86","true","87","3646","35","true"
"88","3557","86","true","88","3646","35","true"
"89","3557","86","true","89","3646","35","true"
"90","3557","86","true","90","3646","35","true"
"91","3652","86","true","91","3752","35","true"
"92","3652","86","true","92","3752","35","true"
"93","3652","86","true","93","3752","35","true"
"94","3652","86","true","94","3752","35","true"
"95","3652","86","true","95","3752","35","true"
"96","3652","86","true","96","3752","35","true"
"97","3652","86","true","97","3752","35","true"
"98","3652","86","true","98","3752","35","true"
"99","3652","86","true","99","3752","35","true"
"100","3652","86","true","100","3752","35","true"
"101","3751","86","true","101","3854","35","true"
"102","3751","86","true","102","3854","35","true"
"103","3751","86","true","103","3854","35","true"
