"export-plot data (NetLogo 6.0.2)"
"UrbanVulnerability_WS.nlogo"
"01/06/2018 16:49:10:839 -0800"

"MODEL SETTINGS"
"tick-limit","motivation_to_protest","seed","budget-distribution","p_rain","fixed-seed?","initial-condition-infrastructure","tolerance_protest","neighbor-spillover-rate","t-coef","w7","infection-threshold","w8","w9","pop-density","w2","w3","use_fixed_landscape?","w4","new_infra_investment","radius_l","w5","w6","maintenance","dynamics?","landscape-type","policy_scenario","tau_ageinfra","visualization","w1","prob-outbreak"
"300","0.01","48569","""local""","0.5","true","""Old""","0.001","0.1","0.002","0.1","5000","0.1","0.1","3000","0.6749999999999999","0.07500000000000001","true","0.07500000000000001","0.07","0","0.1","0.7","0.07","true","""many-hills""","""Squeaky Wheel""","300","""Infrastructure_F""","0.07500000000000001","0.5"

"""Average infrastructure age"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","364","0","157","true","""Drain""","false","2"

"pen name","pen down?","mode","interval","color","x"
"""Drain""","true","0","1","95","300"
"""Supply""","true","0","1","34","300"

"""Drain""",,,,"""Supply"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","36.564068865309345","95","true","0","37.081367522847415","34","true"
"1","36.56406886530934","95","true","1","37.081367522847444","34","true"
"2","36.2551932560484","95","true","2","35.58582911109168","34","true"
"3","36.566876242004156","95","true","3","34.81225881427788","34","true"
"4","36.88519410750747","95","true","4","34.142237350881295","34","true"
"5","37.209483364603905","95","true","5","33.565409837559905","34","true"
"6","37.53914687413384","95","true","6","33.072456879306436","34","true"
"7","37.873647210854166","95","true","7","32.654991020614034","34","true"
"8","38.21250069204586","95","true","8","32.30546355152659","34","true"
"9","38.555272003261436","95","true","9","32.0170806330836","34","true"
"10","38.90156936149885","95","true","10","31.783727810220544","34","true"
"11","37.63019114914456","95","true","11","31.947071943694876","34","true"
"12","37.00278699299364","95","true","12","32.135354781468465","34","true"
"13","36.46568110024141","95","true","13","32.343476745556515","34","true"
"14","36.00984364454826","95","true","14","32.569453923327856","34","true"
"15","35.62714778220798","95","true","15","32.81150079341405","34","true"
"16","35.3102793538855","95","true","16","33.0680103865836","34","true"
"17","35.052655616178654","95","true","17","33.33753643052822","34","true"
"18","34.84835210002636","95","true","18","33.61877728017039","34","true"
"19","34.69203678327298","95","true","19","33.910561454940286","34","true"
"20","34.57891084597855","95","true","20","34.211834622325206","34","true"
"21","32.194517626808384","95","true","21","34.552514668692545","34","true"
"22","31.770307822678806","95","true","22","34.89981530813718","34","true"
"23","31.414362322073686","95","true","23","35.2530744813513","34","true"
"24","31.119854694640335","95","true","24","35.61169633495788","34","true"
"25","30.88064115306156","95","true","25","35.975144600917886","34","true"
"26","30.69119228875175","95","true","26","36.34293663799571","34","true"
"27","30.54653163398419","95","true","27","36.714638069079875","34","true"
"28","30.44218036780457","95","true","28","37.089857954769556","34","true"
"29","30.374107551354264","95","true","29","37.46824444960425","34","true"
"30","30.33868533966009","95","true","30","37.84948089266942","34","true"
"31","28.63869011692023","95","true","31","38.24316527973517","34","true"
"32","28.325603388877326","95","true","32","38.63871345558242","34","true"
"33","28.069138966200903","95","true","33","39.03593904133319","34","true"
"34","27.863634618354098","95","true","34","39.434674295997006","34","true"
"35","27.703994337854013","95","true","35","39.834768252682665","34","true"
"36","27.585631717965782","95","true","36","40.23608504118781","34","true"
"37","27.5044189926286","95","true","37","40.63850237833069","34","true"
"38","27.456641172387055","95","true","38","41.04191020924746","34","true"
"39","27.43895476673188","95","true","39","41.446209484560455","34","true"
"40","27.448350634204026","95","true","40","41.85131105983051","34","true"
"41","25.88475622216435","95","true","41","42.25824964167586","34","true"
"42","25.671330810442534","95","true","42","42.665852045849725","34","true"
"43","25.50443611943039","95","true","43","43.07405189011903","34","true"
"44","25.379419077056674","95","true","44","43.48278943047447","34","true"
"45","25.292091918457338","95","true","45","43.89201089730729","34","true"
"46","25.23868565525511","95","true","46","44.30166789796976","34","true"
"47","25.21580819791047","95","true","47","44.71171687907898","34","true"
"48","25.220406665837533","95","true","48","45.122118642590266","34","true"
"49","25.249733466509127","95","true","49","45.53283791026336","34","true"
"50","25.301315766650657","95","true","50","45.943842931682134","34","true"
"51","24.03082932475938","95","true","51","46.350586778770115","34","true"
"52","23.822374717860857","95","true","52","46.758013921662474","34","true"
"53","23.659953751189565","95","true","53","47.16605603077851","34","true"
"54","23.538963060722665","95","true","54","47.57465160949589","34","true"
"55","23.455259618839573","95","true","55","47.9837453108545","34","true"
"56","23.40511470068187","95","true","56","48.39328732259026","34","true"
"57","23.38517245387737","95","true","57","48.80323281366533","34","true"
"58","23.39241261129051","95","true","58","49.2135414361459","34","true"
"59","23.424116932499533","95","true","59","49.62417687689138","34","true"
"60","23.47783900112475","95","true","60","50.03510645407535","34","true"
"61","22.121539895873973","95","true","61","50.446459444168944","34","true"
