"export-plot data (NetLogo 6.0.2)"
"UrbanVulnerability_WS.nlogo"
"01/06/2018 16:49:10:823 -0800"

"MODEL SETTINGS"
"tick-limit","motivation_to_protest","seed","budget-distribution","p_rain","fixed-seed?","initial-condition-infrastructure","tolerance_protest","neighbor-spillover-rate","t-coef","w7","infection-threshold","w8","w9","pop-density","w2","w3","use_fixed_landscape?","w4","new_infra_investment","radius_l","w5","w6","maintenance","dynamics?","landscape-type","policy_scenario","tau_ageinfra","visualization","w1","prob-outbreak"
"300","0.01","48569","""local""","0.5","true","""Old""","0.001","0.1","0.002","0.1","5000","0.1","0.1","3000","0.6749999999999999","0.07500000000000001","true","0.07500000000000001","0.07","0","0.1","0.7","0.07","true","""many-hills""","""Squeaky Wheel""","300","""Infrastructure_F""","0.07500000000000001","0.5"

"""Infrastructure coverage"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","364","0","3050","true","""default""","false","2"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","86","300"
"""pen-1""","true","0","1","35","300"

"""default""",,,,"""pen-1"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","2775","86","true","0","2820","35","true"
"1","2775","86","true","1","2820","35","true"
"2","2775","86","true","2","2820","35","true"
"3","2775","86","true","3","2820","35","true"
"4","2775","86","true","4","2820","35","true"
"5","2775","86","true","5","2820","35","true"
"6","2775","86","true","6","2820","35","true"
"7","2775","86","true","7","2820","35","true"
"8","2775","86","true","8","2820","35","true"
"9","2775","86","true","9","2820","35","true"
"10","2775","86","true","10","2820","35","true"
"11","2804","86","true","11","2951","35","true"
"12","2804","86","true","12","2951","35","true"
"13","2804","86","true","13","2951","35","true"
"14","2804","86","true","14","2951","35","true"
"15","2804","86","true","15","2951","35","true"
"16","2804","86","true","16","2951","35","true"
"17","2804","86","true","17","2951","35","true"
"18","2804","86","true","18","2951","35","true"
"19","2804","86","true","19","2951","35","true"
"20","2804","86","true","20","2951","35","true"
"21","2807","86","true","21","2970","35","true"
"22","2807","86","true","22","2970","35","true"
"23","2807","86","true","23","2970","35","true"
"24","2807","86","true","24","2970","35","true"
"25","2807","86","true","25","2970","35","true"
"26","2807","86","true","26","2970","35","true"
"27","2807","86","true","27","2970","35","true"
"28","2807","86","true","28","2970","35","true"
"29","2807","86","true","29","2970","35","true"
"30","2807","86","true","30","2970","35","true"
"31","2807","86","true","31","2971","35","true"
"32","2807","86","true","32","2971","35","true"
"33","2807","86","true","33","2971","35","true"
"34","2807","86","true","34","2971","35","true"
"35","2807","86","true","35","2971","35","true"
"36","2807","86","true","36","2971","35","true"
"37","2807","86","true","37","2971","35","true"
"38","2807","86","true","38","2971","35","true"
"39","2807","86","true","39","2971","35","true"
"40","2807","86","true","40","2971","35","true"
"41","2807","86","true","41","2971","35","true"
"42","2807","86","true","42","2971","35","true"
"43","2807","86","true","43","2971","35","true"
"44","2807","86","true","44","2971","35","true"
"45","2807","86","true","45","2971","35","true"
"46","2807","86","true","46","2971","35","true"
"47","2807","86","true","47","2971","35","true"
"48","2807","86","true","48","2971","35","true"
"49","2807","86","true","49","2971","35","true"
"50","2807","86","true","50","2971","35","true"
"51","2807","86","true","51","2971","35","true"
"52","2807","86","true","52","2971","35","true"
"53","2807","86","true","53","2971","35","true"
"54","2807","86","true","54","2971","35","true"
"55","2807","86","true","55","2971","35","true"
"56","2807","86","true","56","2971","35","true"
"57","2807","86","true","57","2971","35","true"
"58","2807","86","true","58","2971","35","true"
"59","2807","86","true","59","2971","35","true"
"60","2807","86","true","60","2971","35","true"
"61","2807","86","true","61","2971","35","true"
"62","2807","86","true","62","2971","35","true"
"63","2807","86","true","63","2971","35","true"
"64","2807","86","true","64","2971","35","true"
"65","2807","86","true","65","2971","35","true"
"66","2807","86","true","66","2971","35","true"
"67","2807","86","true","67","2971","35","true"
"68","2807","86","true","68","2971","35","true"
"69","2807","86","true","69","2971","35","true"
"70","2807","86","true","70","2971","35","true"
"71","2807","86","true","71","2971","35","true"
"72","2807","86","true","72","2971","35","true"
"73","2807","86","true","73","2971","35","true"
"74","2807","86","true","74","2971","35","true"
"75","2807","86","true","75","2971","35","true"
"76","2807","86","true","76","2971","35","true"
"77","2807","86","true","77","2971","35","true"
"78","2807","86","true","78","2971","35","true"
"79","2807","86","true","79","2971","35","true"
"80","2807","86","true","80","2971","35","true"
"81","2807","86","true","81","2971","35","true"
"82","2807","86","true","82","2971","35","true"
"83","2807","86","true","83","2971","35","true"
"84","2807","86","true","84","2971","35","true"
"85","2807","86","true","85","2971","35","true"
"86","2807","86","true","86","2971","35","true"
"87","2807","86","true","87","2971","35","true"
"88","2807","86","true","88","2971","35","true"
"89","2807","86","true","89","2971","35","true"
"90","2807","86","true","90","2971","35","true"
"91","2807","86","true","91","2971","35","true"
"92","2807","86","true","92","2971","35","true"
"93","2807","86","true","93","2971","35","true"
"94","2807","86","true","94","2971","35","true"
"95","2807","86","true","95","2971","35","true"
"96","2807","86","true","96","2971","35","true"
"97","2807","86","true","97","2971","35","true"
"98","2807","86","true","98","2971","35","true"
"99","2807","86","true","99","2971","35","true"
"100","2807","86","true","100","2971","35","true"
"101","2807","86","true","101","2971","35","true"
"102","2804","86","true","102","2954","35","true"
"103","2802","86","true","103","2876","35","true"
"104","2799","86","true","104","2789","35","true"
"105","2794","86","true","105","2710","35","true"
"106","2791","86","true","106","2628","35","true"
"107","2788","86","true","107","2485","35","true"
"108","2784","86","true","108","2356","35","true"
