"export-plot data (NetLogo 6.0.2)"
"UrbanVulnerability_WS.nlogo"
"01/06/2018 16:50:24:257 -0800"

"MODEL SETTINGS"
"tick-limit","motivation_to_protest","seed","budget-distribution","p_rain","fixed-seed?","initial-condition-infrastructure","tolerance_protest","neighbor-spillover-rate","t-coef","w7","infection-threshold","w8","w9","pop-density","w2","w3","use_fixed_landscape?","w4","new_infra_investment","radius_l","w5","w6","maintenance","dynamics?","landscape-type","policy_scenario","tau_ageinfra","visualization","w1","prob-outbreak"
"300","0.01","48569","""local""","0.5","true","""Old""","0.001","0.1","0.002","0.1","5000","0.1","0.5","3000","0.575","-0.024999999999999994","true","-0.024999999999999994","0.07","0","0.1","0.7","0.07","true","""many-hills""","""Squeaky Wheel""","300","""Infrastructure_F""","-0.024999999999999994","0.5"

"""Average infrastructure age"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","364","0","144","true","""Drain""","false","2"

"pen name","pen down?","mode","interval","color","x"
"""Drain""","true","0","1","95","300"
"""Supply""","true","0","1","34","300"

"""Drain""",,,,"""Supply"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","36.56406886530933","95","true","0","37.08136752284738","34","true"
"1","36.56406886530936","95","true","1","37.081367522847366","34","true"
"2","36.337695851648895","95","true","2","35.52956622272715","34","true"
"3","36.72450934481864","95","true","3","34.704481155211816","34","true"
"4","37.11132283798848","95","true","4","33.987218227009905","34","true"
"5","37.49813633115823","95","true","5","33.366995224190234","34","true"
"6","37.884949824328004","95","true","6","32.83410815421459","34","true"
"7","38.27176331749778","95","true","7","32.37982342379851","34","true"
"8","38.65857681066766","95","true","8","31.996280798986053","34","true"
"9","39.045390303837316","95","true","9","31.676406069216895","34","true"
"10","39.43220379700714","95","true","10","31.413832444986692","34","true"
"11","38.77741978460356","95","true","11","30.583016367974018","34","true"
"12","39.117835939054196","95","true","12","30.038377288869857","34","true"
"13","39.46155366177861","95","true","13","29.57662419740855","34","true"
"14","39.80824279594973","95","true","14","29.189468494825828","34","true"
"15","40.15760620042256","95","true","15","28.869450442233664","34","true"
"16","40.50937644816716","95","true","16","28.60985627463311","34","true"
"17","40.86331285485619","95","true","17","28.40464360352501","34","true"
"18","41.21919880459554","95","true","18","28.248374279260016","34","true"
"19","41.57683934307982","95","true","19","28.13615396715399","34","true"
"20","41.93605901143463","95","true","20","28.063577765990747","34","true"
"21","39.726612074152506","95","true","21","27.851156810629558","34","true"
"22","39.686793049155","95","true","22","27.71917115799201","34","true"
"23","39.68349007775837","95","true","23","27.634437597242123","34","true"
"24","39.71305155460283","95","true","24","27.592230919191056","34","true"
"25","39.77219103486388","95","true","25","27.58829843556903","34","true"
"26","39.85795071820001","95","true","26","27.618812726933154","34","true"
"27","39.96766858430371","95","true","27","27.68032911578475","34","true"
"28","40.098948814898286","95","true","28","27.769747392375205","34","true"
"29","40.24963517353462","95","true","29","27.884277367930448","34","true"
"30","40.41778704740833","95","true","30","28.021407872554057","34","true"
"31","37.547435604659746","95","true","31","28.22262667413417","34","true"
"32","37.15934747100833","95","true","32","28.44505055334646","34","true"
"33","36.8370266118317","95","true","33","28.68501459272773","34","true"
"34","36.57389629968246","95","true","34","28.940764776261194","34","true"
"35","36.36403747985748","95","true","35","29.210722489531644","34","true"
"36","36.202123003124505","95","true","36","29.493466979565437","34","true"
"37","36.083358435174546","95","true","37","29.78771956868612","34","true"
"38","36.003428785129074","95","true","38","30.092329446985115","34","true"
"39","35.958450561197814","95","true","39","30.40626088554451","34","true"
"40","35.94492862076893","95","true","40","30.728581728338334","34","true"
"41","34.032159703995575","95","true","41","31.04405193136778","34","true"
"42","33.736359235473","95","true","42","31.369026131657762","34","true"
"43","33.49598213691421","95","true","43","31.702553929482214","34","true"
"44","33.30548607132257","95","true","44","32.04377996508769","34","true"
"45","33.159882935401185","95","true","45","32.391934414695896","34","true"
"46","33.054683436183055","95","true","46","32.74632443690683","34","true"
"47","32.98584720999807","95","true","47","33.10632647446001","34","true"
"48","32.94973792954301","95","true","48","33.47137932582135","34","true"
"49","32.94308290024449","95","true","49","33.84097790960988","34","true"
"50","32.962936696986915","95","true","50","34.21466765258308","34","true"
"51","31.456992380233817","95","true","51","34.604665145053104","34","true"
"52","31.234772811236187","95","true","52","34.997424806313475","34","true"
"53","31.059907621775665","95","true","53","35.39267041948513","34","true"
"54","30.927661373898665","95","true","54","35.79015338937703","34","true"
"55","30.83377217344648","95","true","55","36.18964998031699","34","true"
"56","30.774404315676765","95","true","56","36.59095883020039","34","true"
"57","30.746105666321395","95","true","57","36.99389871313297","34","true"
"58","30.745769304538907","95","true","58","37.3983065258094","34","true"
"59","30.770599001571956","95","true","59","37.804035475255624","34","true"
"60","30.81807815153878","95","true","60","38.21095344779456","34","true"
"61","29.215273349482448","95","true","61","38.62227531099401","34","true"
"62","29.044440204934865","95","true","62","39.0344220550607","34","true"
"63","28.915627648329785","95","true","63","39.447311191907765","34","true"
"64","28.82463362087302","95","true","64","39.860868482257196","34","true"
