"export-plot data (NetLogo 6.0.2)"
"UrbanVulnerability_WS.nlogo"
"01/06/2018 16:50:24:257 -0800"

"MODEL SETTINGS"
"tick-limit","motivation_to_protest","seed","budget-distribution","p_rain","fixed-seed?","initial-condition-infrastructure","tolerance_protest","neighbor-spillover-rate","t-coef","w7","infection-threshold","w8","w9","pop-density","w2","w3","use_fixed_landscape?","w4","new_infra_investment","radius_l","w5","w6","maintenance","dynamics?","landscape-type","policy_scenario","tau_ageinfra","visualization","w1","prob-outbreak"
"300","0.01","48569","""local""","0.5","true","""Old""","0.001","0.1","0.002","0.1","5000","0.1","0.5","3000","0.575","-0.024999999999999994","true","-0.024999999999999994","0.07","0","0.1","0.7","0.07","true","""many-hills""","""Squeaky Wheel""","300","""Infrastructure_F""","-0.024999999999999994","0.5"

"""Infrastructure coverage"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","364","0","3050","true","""default""","false","2"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","86","300"
"""pen-1""","true","0","1","35","300"

"""default""",,,,"""pen-1"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","2775","86","true","0","2820","35","true"
"1","2775","86","true","1","2820","35","true"
"2","2775","86","true","2","2820","35","true"
"3","2775","86","true","3","2820","35","true"
"4","2775","86","true","4","2820","35","true"
"5","2775","86","true","5","2820","35","true"
"6","2775","86","true","6","2820","35","true"
"7","2775","86","true","7","2820","35","true"
"8","2775","86","true","8","2820","35","true"
"9","2775","86","true","9","2820","35","true"
"10","2775","86","true","10","2820","35","true"
"11","2776","86","true","11","2946","35","true"
"12","2776","86","true","12","2946","35","true"
"13","2776","86","true","13","2946","35","true"
"14","2776","86","true","14","2946","35","true"
"15","2776","86","true","15","2946","35","true"
"16","2776","86","true","16","2946","35","true"
"17","2776","86","true","17","2946","35","true"
"18","2776","86","true","18","2946","35","true"
"19","2776","86","true","19","2946","35","true"
"20","2776","86","true","20","2946","35","true"
"21","2777","86","true","21","3004","35","true"
"22","2777","86","true","22","3004","35","true"
"23","2777","86","true","23","3004","35","true"
"24","2777","86","true","24","3004","35","true"
"25","2777","86","true","25","3004","35","true"
"26","2777","86","true","26","3004","35","true"
"27","2777","86","true","27","3004","35","true"
"28","2777","86","true","28","3004","35","true"
"29","2777","86","true","29","3004","35","true"
"30","2777","86","true","30","3004","35","true"
"31","2784","86","true","31","3008","35","true"
"32","2784","86","true","32","3008","35","true"
"33","2784","86","true","33","3008","35","true"
"34","2784","86","true","34","3008","35","true"
"35","2784","86","true","35","3008","35","true"
"36","2784","86","true","36","3008","35","true"
"37","2784","86","true","37","3008","35","true"
"38","2784","86","true","38","3008","35","true"
"39","2784","86","true","39","3008","35","true"
"40","2784","86","true","40","3008","35","true"
"41","2787","86","true","41","3016","35","true"
"42","2787","86","true","42","3016","35","true"
"43","2787","86","true","43","3016","35","true"
"44","2787","86","true","44","3016","35","true"
"45","2787","86","true","45","3016","35","true"
"46","2787","86","true","46","3016","35","true"
"47","2787","86","true","47","3016","35","true"
"48","2787","86","true","48","3016","35","true"
"49","2787","86","true","49","3016","35","true"
"50","2787","86","true","50","3016","35","true"
"51","2787","86","true","51","3016","35","true"
"52","2787","86","true","52","3016","35","true"
"53","2787","86","true","53","3016","35","true"
"54","2787","86","true","54","3016","35","true"
"55","2787","86","true","55","3016","35","true"
"56","2787","86","true","56","3016","35","true"
"57","2787","86","true","57","3016","35","true"
"58","2787","86","true","58","3016","35","true"
"59","2787","86","true","59","3016","35","true"
"60","2787","86","true","60","3016","35","true"
"61","2787","86","true","61","3016","35","true"
"62","2787","86","true","62","3016","35","true"
"63","2787","86","true","63","3016","35","true"
"64","2787","86","true","64","3016","35","true"
"65","2787","86","true","65","3016","35","true"
"66","2787","86","true","66","3016","35","true"
"67","2787","86","true","67","3016","35","true"
"68","2787","86","true","68","3016","35","true"
"69","2787","86","true","69","3016","35","true"
"70","2787","86","true","70","3016","35","true"
"71","2787","86","true","71","3016","35","true"
"72","2787","86","true","72","3016","35","true"
"73","2787","86","true","73","3016","35","true"
"74","2787","86","true","74","3016","35","true"
"75","2787","86","true","75","3016","35","true"
"76","2787","86","true","76","3016","35","true"
"77","2787","86","true","77","3016","35","true"
"78","2787","86","true","78","3016","35","true"
"79","2787","86","true","79","3016","35","true"
"80","2787","86","true","80","3016","35","true"
"81","2787","86","true","81","3016","35","true"
"82","2787","86","true","82","3016","35","true"
"83","2787","86","true","83","3016","35","true"
"84","2787","86","true","84","3016","35","true"
"85","2787","86","true","85","3016","35","true"
"86","2787","86","true","86","3016","35","true"
"87","2787","86","true","87","3016","35","true"
"88","2787","86","true","88","3016","35","true"
"89","2787","86","true","89","3016","35","true"
"90","2787","86","true","90","3016","35","true"
"91","2787","86","true","91","3016","35","true"
"92","2787","86","true","92","3016","35","true"
"93","2787","86","true","93","3016","35","true"
"94","2787","86","true","94","3016","35","true"
"95","2787","86","true","95","3016","35","true"
"96","2787","86","true","96","3016","35","true"
"97","2787","86","true","97","3016","35","true"
"98","2787","86","true","98","3016","35","true"
"99","2787","86","true","99","3016","35","true"
"100","2787","86","true","100","3016","35","true"
"101","2787","86","true","101","3016","35","true"
"102","2775","86","true","102","3014","35","true"
"103","2754","86","true","103","2991","35","true"
"104","2738","86","true","104","2958","35","true"
"105","2727","86","true","105","2931","35","true"
"106","2707","86","true","106","2903","35","true"
"107","2692","86","true","107","2873","35","true"
"108","2677","86","true","108","2857","35","true"
