"export-plot data (NetLogo 6.0.2)"
"UrbanVulnerability_WS.nlogo"
"01/06/2018 21:48:52:277 -0800"

"MODEL SETTINGS"
"tick-limit","motivation_to_protest","seed","budget-distribution","p_rain","fixed-seed?","initial-condition-infrastructure","tolerance_protest","neighbor-spillover-rate","t-coef","w7","infection-threshold","w8","w9","pop-density","w2","w3","use_fixed_landscape?","w4","new_infra_investment","radius_l","w5","w6","maintenance","dynamics?","landscape-type","policy_scenario","tau_ageinfra","visualization","w1","prob-outbreak"
"500","0.01","48569","""local""","0.5","true","""Old""","0.001","0.1","0.003","0.1","1500","0.1","0","3000","0.7","0.1","true","0.1","0.07","0","0.1","0.7","0.07","true","""many-hills""","""Squeaky Wheel""","300","""Infrastructure_F""","0.1","0.5"

"""Infrastructure coverage"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","571","0","4110","true","""default""","false","2"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","86","500"
"""pen-1""","true","0","1","35","500"

"""default""",,,,"""pen-1"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","2775","86","true","0","2820","35","true"
"1","2775","86","true","1","2820","35","true"
"2","2775","86","true","2","2820","35","true"
"3","2775","86","true","3","2820","35","true"
"4","2775","86","true","4","2820","35","true"
"5","2775","86","true","5","2820","35","true"
"6","2775","86","true","6","2820","35","true"
"7","2775","86","true","7","2820","35","true"
"8","2775","86","true","8","2820","35","true"
"9","2775","86","true","9","2820","35","true"
"10","2775","86","true","10","2820","35","true"
"11","2853","86","true","11","2899","35","true"
"12","2853","86","true","12","2899","35","true"
"13","2853","86","true","13","2899","35","true"
"14","2853","86","true","14","2899","35","true"
"15","2853","86","true","15","2899","35","true"
"16","2853","86","true","16","2899","35","true"
"17","2853","86","true","17","2899","35","true"
"18","2853","86","true","18","2899","35","true"
"19","2853","86","true","19","2899","35","true"
"20","2853","86","true","20","2899","35","true"
"21","2910","86","true","21","2955","35","true"
"22","2910","86","true","22","2955","35","true"
"23","2910","86","true","23","2955","35","true"
"24","2910","86","true","24","2955","35","true"
"25","2910","86","true","25","2955","35","true"
"26","2910","86","true","26","2955","35","true"
"27","2910","86","true","27","2955","35","true"
"28","2910","86","true","28","2955","35","true"
"29","2910","86","true","29","2955","35","true"
"30","2910","86","true","30","2955","35","true"
"31","2945","86","true","31","2996","35","true"
"32","2945","86","true","32","2996","35","true"
"33","2945","86","true","33","2996","35","true"
"34","2945","86","true","34","2996","35","true"
"35","2945","86","true","35","2996","35","true"
"36","2945","86","true","36","2996","35","true"
"37","2945","86","true","37","2996","35","true"
"38","2945","86","true","38","2996","35","true"
"39","2945","86","true","39","2996","35","true"
"40","2945","86","true","40","2996","35","true"
"41","2997","86","true","41","3054","35","true"
"42","2997","86","true","42","3054","35","true"
"43","2997","86","true","43","3054","35","true"
"44","2997","86","true","44","3054","35","true"
"45","2997","86","true","45","3054","35","true"
"46","2997","86","true","46","3054","35","true"
"47","2997","86","true","47","3054","35","true"
"48","2997","86","true","48","3054","35","true"
"49","2997","86","true","49","3054","35","true"
"50","2997","86","true","50","3054","35","true"
"51","3045","86","true","51","3100","35","true"
"52","3045","86","true","52","3100","35","true"
"53","3045","86","true","53","3100","35","true"
"54","3045","86","true","54","3100","35","true"
"55","3045","86","true","55","3100","35","true"
"56","3045","86","true","56","3100","35","true"
"57","3045","86","true","57","3100","35","true"
"58","3045","86","true","58","3100","35","true"
"59","3045","86","true","59","3100","35","true"
"60","3045","86","true","60","3100","35","true"
"61","3102","86","true","61","3149","35","true"
"62","3102","86","true","62","3149","35","true"
"63","3102","86","true","63","3149","35","true"
"64","3102","86","true","64","3149","35","true"
"65","3102","86","true","65","3149","35","true"
"66","3102","86","true","66","3149","35","true"
"67","3102","86","true","67","3149","35","true"
"68","3102","86","true","68","3149","35","true"
"69","3102","86","true","69","3149","35","true"
"70","3102","86","true","70","3149","35","true"
"71","3149","86","true","71","3191","35","true"
"72","3149","86","true","72","3191","35","true"
"73","3149","86","true","73","3191","35","true"
"74","3149","86","true","74","3191","35","true"
"75","3149","86","true","75","3191","35","true"
"76","3149","86","true","76","3191","35","true"
"77","3149","86","true","77","3191","35","true"
"78","3149","86","true","78","3191","35","true"
"79","3149","86","true","79","3191","35","true"
"80","3149","86","true","80","3191","35","true"
"81","3189","86","true","81","3233","35","true"
"82","3189","86","true","82","3233","35","true"
"83","3189","86","true","83","3233","35","true"
"84","3189","86","true","84","3233","35","true"
"85","3189","86","true","85","3233","35","true"
"86","3189","86","true","86","3233","35","true"
"87","3189","86","true","87","3233","35","true"
"88","3189","86","true","88","3233","35","true"
"89","3189","86","true","89","3233","35","true"
"90","3189","86","true","90","3233","35","true"
"91","3231","86","true","91","3281","35","true"
"92","3231","86","true","92","3281","35","true"
"93","3231","86","true","93","3281","35","true"
"94","3231","86","true","94","3281","35","true"
"95","3231","86","true","95","3281","35","true"
"96","3231","86","true","96","3281","35","true"
"97","3231","86","true","97","3281","35","true"
"98","3231","86","true","98","3281","35","true"
"99","3231","86","true","99","3281","35","true"
"100","3231","86","true","100","3281","35","true"
"101","3282","86","true","101","3310","35","true"
"102","3282","86","true","102","3298","35","true"
"103","3281","86","true","103","3258","35","true"
"104","3280","86","true","104","3226","35","true"
"105","3280","86","true","105","3205","35","true"
"106","3279","86","true","106","3183","35","true"
"107","3279","86","true","107","3157","35","true"
"108","3279","86","true","108","3144","35","true"
"109","3279","86","true","109","3137","35","true"
"110","3279","86","true","110","3121","35","true"
"111","3322","86","true","111","3170","35","true"
"112","3320","86","true","112","3157","35","true"
"113","3319","86","true","113","3152","35","true"
"114","3318","86","true","114","3145","35","true"
"115","3318","86","true","115","3143","35","true"
"116","3315","86","true","116","3138","35","true"
"117","3312","86","true","117","3138","35","true"
"118","3311","86","true","118","3138","35","true"
"119","3308","86","true","119","3137","35","true"
"120","3307","86","true","120","3135","35","true"
"121","3355","86","true","121","3202","35","true"
"122","3353","86","true","122","3195","35","true"
"123","3352","86","true","123","3193","35","true"
"124","3351","86","true","124","3192","35","true"
"125","3350","86","true","125","3192","35","true"
"126","3349","86","true","126","3192","35","true"
"127","3349","86","true","127","3192","35","true"
"128","3349","86","true","128","3192","35","true"
"129","3349","86","true","129","3191","35","true"
"130","3349","86","true","130","3181","35","true"
"131","3383","86","true","131","3209","35","true"
"132","3383","86","true","132","3209","35","true"
"133","3383","86","true","133","3207","35","true"
"134","3383","86","true","134","3207","35","true"
"135","3383","86","true","135","3207","35","true"
"136","3383","86","true","136","3207","35","true"
"137","3383","86","true","137","3206","35","true"
"138","3383","86","true","138","3185","35","true"
"139","3383","86","true","139","3174","35","true"
"140","3383","86","true","140","3172","35","true"
"141","3423","86","true","141","3229","35","true"
"142","3423","86","true","142","3236","35","true"
"143","3423","86","true","143","3236","35","true"
"144","3423","86","true","144","3234","35","true"
"145","3423","86","true","145","3208","35","true"
"146","3423","86","true","146","3203","35","true"
"147","3423","86","true","147","3203","35","true"
"148","3423","86","true","148","3203","35","true"
"149","3423","86","true","149","3203","35","true"
